التصنيف,المستوى,السؤال,الإجابة
صراع العروش,صعب,ما اسم ابن ستارك المشلول الذي صار «الغراب ذا العيون الثلاث»؟,بران
صراع العروش,صعب,ما اسم الفتى الضخم الذي حمل بران ومات ممسكاً الباب؟,هودور
صراع العروش,صعب,ما اسم المدينة التي دمّرتها دينيريس بالتنّين في الموسم الأخير؟,كينغز لاندينغ
صراع العروش,صعب,من الممثّل الذي أدّى جون سنو؟,كيت هارينغتون
صراع العروش,صعب,من الممثّلة التي أدّت سيرسي لانيستر؟,لينا هيدي
صراع العروش,صعب,ما اسم الفتاة البرّية ذات الشعر الأحمر التي أحبّها جون سنو؟,إيغريت
صراع العروش,صعب,ما اسم الحصن الذي يقيم فيه آل فراي على الجسر؟,التوأمان
صراع العروش,تعجيزي,ما اسم جدّة مارجري التي دبّرت تسميم جوفري؟,أولينا تايرل
صراع العروش,تعجيزي,ما اسم شيطان الظلّ الذي قتل رينلي باراثيون؟,ظلّ ميليساندر
صراع العروش,تعجيزي,ما اسم القلعة مقرّ آل لانيستر؟,كاسترلي روك
صراع العروش,تعجيزي,ما اسم القلعة مقرّ آل باراثيون التي ورثها ستانيس؟,دراغونستون
صراع العروش,تعجيزي,ما اسم البلد القارّي شرق ويستروس؟,إيسوس
صراع العروش,تعجيزي,ما اسم المعدن الوحيد الذي يقتل السائرين البيض إلى جانب الفولاذ الفاليري؟,زجاج التنّين (الأوبسيديان)
صراع العروش,تعجيزي,ما اسم القسم/الفرقة التي يحكمها «الرجال بلا وجوه»؟,الإله متعدّد الوجوه
صراع العروش,تعجيزي,ما اسم ابنة سيرسي التي سُمّمت في دورن؟,ميرسيلا
صراع العروش,تعجيزي,ما اسم المدينة التي فيها «القلعة» مقرّ المايسترات؟,أولدتاون
صراع العروش,تعجيزي,ما اسم الساحرة التي «عالجت» دروغو فتركته جسداً بلا روح؟,ميري ماز دور
صراع العروش,تعجيزي,ما اسم الغراب ذي العيون الثلاث الأصلي الذي درّب بران؟,بلودرايفن (بريندن ريفرز)
صراع العروش,تعجيزي,ما اسم القبيلة البرّية التي تزوّج جون منها إيغريت؟,الأحرار (البرّيون)
صراع العروش,تعجيزي,من الممثّل الذي أدّى جيمي لانيستر؟,نيكولاي كوستر-فالداو
صراع العروش,تعجيزي,من الممثّلة التي أدّت آريا ستارك؟,ميزي ويليامز
صراع العروش,تعجيزي,من الممثّلة التي أدّت سانسا؟,صوفي تيرنر
صراع العروش,تعجيزي,ما اسم القبيلة/الشعب الذي ينتمي إليه دروغو؟,الدوثراكي
صراع العروش,تعجيزي,من ألّف موسيقى المسلسل؟,رامين جوادي
صراع العروش,تعجيزي,على أيّ شبكة أمريكية عُرض المسلسل؟,إتش بي أو
صراع العروش,تعجيزي,في أيّ عام عُرض الموسم الأوّل؟,2011
صراع العروش,تعجيزي,ما اسم المسلسل المشتقّ عن تاريخ آل تارغاريان؟,بيت التنّين (هاوس أوف ذا دراغون)
