التصنيف,المستوى,السؤال,الإجابة
بريكنغ باد,صعب,ما اسم شريك والتر في الجامعة الذي صار ملياردير غراي ماتر؟,إليوت شوارتز
بريكنغ باد,صعب,ما اسم زوجة إليوت وحبيبة والتر السابقة؟,غريتشن
بريكنغ باد,صعب,ما اسم رئيس هانك في مكافحة المخدّرات؟,جورج ميركرت
بريكنغ باد,صعب,ما اسم شريك هانك في مكافحة المخدّرات؟,ستيف غوميز
بريكنغ باد,صعب,ما اسم مالك المغسلة الذي باعها لوالتر؟,بوغدان
بريكنغ باد,صعب,ما الكتاب الذي كشف لهانك حقيقة والتر وهو في الحمّام؟,أوراق العشب (والت ويتمان)
بريكنغ باد,صعب,ما اسم الشركة الألمانية الأمّ للوس بويوس هيرمانوس؟,مادريغال
بريكنغ باد,صعب,ما اسم المدينة/الولاية التي تخفّى فيها والتر في الموسم الأخير؟,نيوهامبشر
بريكنغ باد,صعب,ما المهنة الظاهرة للرجل الذي يمنح الهاربين هويّات جديدة مقابل المال؟,بائع مكانس كهربائية
بريكنغ باد,صعب,ما اسم السيدة التي حاولت السيطرة على الميثيلامين ثمّ شاركت والتر؟,ليديا
بريكنغ باد,صعب,ما اسم طائرة الركّاب التي تحطّمت فوق ألباكركي بسبب والد جين؟,وايفارر 515
بريكنغ باد,صعب,كم موسماً للمسلسل؟,خمسة
بريكنغ باد,صعب,من ابتكر المسلسل؟,فينس غيليغان
بريكنغ باد,صعب,على أيّ شبكة أمريكية عُرض؟,إيه إم سي
بريكنغ باد,صعب,ما اسم الفيلم الذي تابع قصّة جيسي بعد النهاية؟,إل كامينو
بريكنغ باد,صعب,ما اسم العنصر الكيميائي الذي يظهر رمزه في شعار المسلسل ضمن «Br»؟,البروم
بريكنغ باد,صعب,ما الحلقة الشهيرة التي دارت كلّها حول مطاردة ذبابة في المختبر؟,الذبابة (فلاي)
بريكنغ باد,تعجيزي,ما اسم جهاز/السلاح الذي قتل به والتر النازيين في الحلقة الأخيرة؟,رشّاش إم 60 في صندوق السيارة
بريكنغ باد,تعجيزي,ما اسم الحلقة الأخيرة من المسلسل؟,فيلينا
بريكنغ باد,تعجيزي,ما الاسم الذي انتحله والتر في نيوهامبشر؟,لامبرت
بريكنغ باد,تعجيزي,كم كان ثمن بيع والتر حصّته في غراي ماتر؟,5000 دولار
بريكنغ باد,تعجيزي,من الممثّل الذي أدّى والتر جونيور؟,آر جيه ميتي
بريكنغ باد,تعجيزي,من الممثّل الذي أدّى غوس فرينغ؟,جيانكارلو إسبوزيتو
بريكنغ باد,تعجيزي,من الممثّل الذي أدّى مايك إيرمانتراوت؟,جوناثان بانكس
بريكنغ باد,تعجيزي,من الممثّل الذي أدّى سول غودمان؟,بوب أودنكيرك
بريكنغ باد,تعجيزي,من الممثّلة التي أدّت سكايلر؟,آنا غان
بريكنغ باد,تعجيزي,من الممثّل الذي أدّى هانك شرايدر؟,دين نوريس
بريكنغ باد,تعجيزي,ما الشيء الذي سقط في مسبح والتر بعد تحطّم الطائرتين وصار رمزاً للموسم الثاني؟,دبّ وردي بعين واحدة
بريكنغ باد,تعجيزي,في أيّ عام عُرضت الحلقة الأولى؟,2008
بريكنغ باد,تعجيزي,ما اسم المدرسة التي درّس فيها والتر؟,ثانوية جيه بي واين
بريكنغ باد,تعجيزي,ما اسم الحلقة التي سرق فيها الفريق قطار الميثيلامين؟,ديد فرايت
بريكنغ باد,تعجيزي,ما نقاء الميث الأزرق الذي صنعه والتر تقريباً؟,99.1%
بريكنغ باد,تعجيزي,ما وزن أموال والتر التي دُفنت (بالملايين)؟,80 مليون دولار
بريكنغ باد,تعجيزي,ما اسم البلدة الأصلية لغوس التي ادّعى المجيء منها؟,تشيلي
بريكنغ باد,تعجيزي,من الممثّل الذي أدّى تود؟,جيسي بليمونز
بريكنغ باد,تعجيزي,ما عدد الحلقات الكامل للمسلسل؟,62
بريكنغ باد,تعجيزي,ما اسم القناة/الخدمة التي أنتجت «إل كامينو»؟,نتفليكس
