التصنيف,المستوى,السؤال,الإجابة,العائلة
مسلسلات خليجية,تعجيزي,في «خالتي قماشة»، ما اسم أخت محبوبة الصغرى صاحبة الموهبة الغنائية؟,ليلى,
مسلسلات خليجية,تعجيزي,في «خالتي قماشة»، من أدّى دور عادل؟,خليل إسماعيل,
مسلسلات خليجية,سهل,من كتبت مسلسل «الحيالة»؟,فجر السعيد,
مسلسلات خليجية,سهل,في «الحيالة»، ما اسم العائلة التي تدور حولها الأحداث؟,علف,
مسلسلات خليجية,سهل,في «الحيالة»، ما اسم الشخصية التي أدّاها عبدالحسين عبدالرضا؟,دواس,
مسلسلات خليجية,سهل,في «الحيالة»، ما اسم الأخ الأكبر المتمسّك بالعادات الذي أدّاه خالد النفيسي؟,مانع,
مسلسلات خليجية,سهل,في «الحيالة»، من أدّت دور «لولوة»؟,إلهام الفضالة,
مسلسلات خليجية,متوسط,في أيّ عام عُرض «الحيالة» أوّل مرّة؟,2003,
مسلسلات خليجية,متوسط,في «الحيالة»، ما اسم أخت دواس ومانع التي تدخّن الشيشة سرّاً؟,فتون,
مسلسلات خليجية,متوسط,في «الحيالة»، من أدّت دور فتون؟,فخرية خميس,
مسلسلات خليجية,متوسط,في «الحيالة»، ما اسم المرأة الثريّة التي تزوّجها دواس طمعاً في مالها؟,حكيمة (أمّ ماجد),
مسلسلات خليجية,متوسط,في «الحيالة»، من غنّى شارة البداية؟,عبدالحسين عبدالرضا,
مسلسلات خليجية,صعب,من مخرج «الحيالة»؟,البيلي أحمد,
مسلسلات خليجية,صعب,في «الحيالة»، من أدّت دور حكيمة أمّ ماجد؟,أمل عباس,
مسلسلات خليجية,صعب,كم حلقةً في «الحيالة»؟,30,
مسلسلات خليجية,صعب,في «الحيالة»، ما عمل حكيمة؟,الطبخ وتوصيل الطلبات,
مسلسلات خليجية,صعب,في «الحيالة»، ما اسم الشخصية التي أدّاها سعيد سالم؟,عيد بن شاكر,
مسلسلات خليجية,تعجيزي,في «الحيالة»، ما اسم أمّ لولوة؟,نسيمة,
مسلسلات خليجية,تعجيزي,في «الحيالة»، من أدّى دور «شاهين يوسف علف»؟,مشاري البلام,
مسلسلات خليجية,تعجيزي,في «الحيالة»، من أدّى دور «جراح يوسف علف»؟,محمود بوشهري,
مسلسلات خليجية,تعجيزي,ما الجهة التي أنتجت «الحيالة»؟,مركز الفنون للإنتاج الفني,
مسلسلات خليجية,تعجيزي,في «الحيالة»، من أدّى دور ماجد ابن حكيمة؟,يعقوب عبدالله,
مسلسلات خليجية,سهل,في «رقية وسبيكة»، من أدّت دور سبيكة؟,حياة الفهد,
مسلسلات خليجية,سهل,في «رقية وسبيكة»، ما نوع الشركة التي أسّستها الأختان بعد التثمين؟,استيراد وتصدير,
مسلسلات خليجية,سهل,في «رقية وسبيكة»، من أيّ وزارة كانت الأختان تتلقّيان الإعانة؟,الشؤون الاجتماعية,
مسلسلات خليجية,سهل,في «رقية وسبيكة»، بماذا احتفلت الأختان عند محلّ الكباب؟,بمليون التثمين,
مسلسلات خليجية,سهل,في «رقية وسبيكة»، إلى أيّ مدينة سافرت الأختان تتسوّقان في الحلقة الأخيرة؟,باريس,
مسلسلات خليجية,متوسط,من كتب «رقية وسبيكة»؟,مبارك الحشاش,
مسلسلات خليجية,متوسط,من مخرج «رقية وسبيكة»؟,فيصل الضاحي,
مسلسلات خليجية,متوسط,كم حلقةً في «رقية وسبيكة»؟,7,
مسلسلات خليجية,متوسط,في أيّ عام عُرض «رقية وسبيكة»؟,1986,
مسلسلات خليجية,متوسط,في «رقية وسبيكة»، ماذا ادّعت سبيكة لتتخلّص من رقية؟,أنّها حامل,
مسلسلات خليجية,صعب,في «رقية وسبيكة»، ما اسم السكرتير الذي لقّبته سبيكة بـ«حفّار القبور»؟,جميل جمال,
مسلسلات خليجية,صعب,في «رقية وسبيكة»، من أدّى دور جميل جمال؟,علي المفيدي,
مسلسلات خليجية,صعب,في «رقية وسبيكة»، ما اسم التاجر النصّاب الذي استغلّ الأختين؟,بو عثمان,
مسلسلات خليجية,صعب,في «رقية وسبيكة»، من أدّى دور بو عثمان؟,كاظم القلاف,
مسلسلات خليجية,صعب,في «رقية وسبيكة»، ما اسم عائلة الأختين؟,أبو العيش,
مسلسلات خليجية,تعجيزي,في «رقية وسبيكة»، من أدّت دور الباحثة الاجتماعية؟,أسمهان توفيق,
مسلسلات خليجية,تعجيزي,في «رقية وسبيكة»، ما الاسم الكامل لذياب؟,ذياب دايخ ذيب بنيدر,
مسلسلات خليجية,تعجيزي,في «رقية وسبيكة»، ما البضاعة التي عرضها بو عثمان على الأختين على أنّها مستوردة وهي موجودة في الكويت؟,الدراريع والملافع,
مسلسلات خليجية,تعجيزي,في «رقية وسبيكة»، بكم قدّرت سبيكة سعر بسطتهما القديمة؟,5000 دينار,
مسلسلات خليجية,تعجيزي,في «رقية وسبيكة»، من أدّى دور عبدالله الذي استغلّه بو عثمان؟,عبدالإمام عبدالله,
