التصنيف,المستوى,السؤال,الإجابة
حروف,صعب,من آخر زعيم للاتحاد السوفييتي؟,غورباتشوف
حروف,صعب,من أوّل امرأة تولّت رئاسة وزراء بريطانيا؟,تاتشر
حروف,صعب,من الموسيقار البولندي الملقّب بشاعر البيانو؟,شوبان
حروف,صعب,من الرسّام الإسباني صاحب لوحة الساعات الذائبة؟,دالي
حروف,تعجيزي,ما اسم الصاروخ العملاق الذي حمل رحلات أبولو إلى القمر؟,ساتورن
حروف,تعجيزي,ما اسم السفينة التي حملت المهاجرين الإنجليز الأوائل إلى أمريكا عام 1620؟,مايفلاور
حروف,تعجيزي,ما اسم قصر الملك البريطاني في اسكتلندا؟,بالمورال
حروف,تعجيزي,ما اسم قصر الرئاسة في مصر؟,الاتحادية
حروف,تعجيزي,أيّ قصر هو مقرّ رئاسة الجمهورية في تونس؟,قرطاج
حروف,تعجيزي,ما اسم أكبر ميناء في أوروبا؟,روتردام
حروف,تعجيزي,في أيّ مدينة ألمانية يقع مقرّ شركة مرسيدس؟,شتوتغارت
حروف,تعجيزي,ما المدينة الأمريكية التي يقع فيها مركز التحكّم في رحلات ناسا المأهولة؟,هيوستن
حروف,تعجيزي,أيّ مدينة فرنسية تضمّ مقرّ الشرطة الدولية (الإنتربول)؟,ليون
حروف,تعجيزي,ما المدينة السعودية التي تضمّ مقرّ منظمة التعاون الإسلامي؟,جدة
حروف,تعجيزي,ما اسم الاستوديو الياباني الذي أنتج فيلم «سبيريتد أواي»؟,غيبلي
حروف,تعجيزي,من النيوزيلندي الذي كان أوّل من بلغ قمّة إيفرست مع الشيربا تنزينغ عام 1953؟,هيلاري
حروف,تعجيزي,ما اسم المبنى الذي يجتمع فيه الكونغرس الأمريكي؟,الكابيتول
حروف,تعجيزي,ما اسم البورصة الأمريكية التي تُدرج فيها شركات التقنية الكبرى كأبل ومايكروسوفت؟,ناسداك
حروف,تعجيزي,ما اسم المشروع الأمريكي السرّي الذي صنع أوّل قنبلة ذرّية؟,مانهاتن
حروف,تعجيزي,ما اسم الكوكب الذي جاء منه سوبرمان؟,كريبتون
حروف,تعجيزي,ما اسم صديق شرلوك هولمز ومساعده؟,واطسون
حروف,تعجيزي,من أوّل عربي فاز بجائزة نوبل؟,السادات
حروف,تعجيزي,ما المدينة الألمانية التي يقع فيها مقرّ البنك المركزي الأوروبي؟,فرانكفورت
حروف,تعجيزي,ما اسم السجن الفرنسي الذي أشعل اقتحامه الثورة الفرنسية؟,الباستيل
