التصنيف,المستوى,السؤال,الإجابة,الصورة
شعارات,صعب,شعار مَن هذا؟,آوتلوك,pic-logo-outlook
شعارات,صعب,ما هذا الرمز؟,الخطر البيولوجي,pic-logo-biohazard
شعارات,صعب,ما هذا الرمز؟,الإشعاع النووي,pic-logo-radioactive
شعارات,تعجيزي,شعار مَن هذا؟,ماستودون,pic-logo-mastodon
شعارات,تعجيزي,شعار مَن هذا؟,بلوسكاي,pic-logo-bluesky
شعارات,تعجيزي,شعار مَن هذا؟,رياكت,pic-logo-react
شعارات,تعجيزي,شعار مَن هذا؟,فيو,pic-logo-vue
شعارات,تعجيزي,شعار مَن هذا؟,أنغولار,pic-logo-angular
شعارات,تعجيزي,شعار مَن هذا؟,كوبرنيتس,pic-logo-kubernetes
شعارات,تعجيزي,شعار مَن هذا؟,غيت,pic-logo-git
شعارات,تعجيزي,شعار مَن هذا؟,رست,pic-logo-rust
شعارات,تعجيزي,ما هذا الرمز؟,لايتكوين,pic-logo-litecoin
شعارات,تعجيزي,شعار مَن هذا؟,بينانس,pic-logo-binance
شعارات,تعجيزي,شعار مَن هذا؟,تارغت,pic-logo-target
شعارات,تعجيزي,شعار مَن هذا؟,بيتس,pic-logo-beats
شعارات,تعجيزي,شعار مَن هذا؟,ويكيميديا كومنز,pic-logo-commons
شعارات,تعجيزي,شعار مَن هذا؟,بلندر,pic-logo-blender
شعارات,تعجيزي,شعار مَن هذا؟,الكريستالة الحمراء,pic-logo-redcrystal
شعارات,تعجيزي,شعار مَن هذا؟,موزيلا,pic-logo-mozilla
شعارات,تعجيزي,شعار مَن هذا؟,سيغنال,pic-logo-signal
شعارات,تعجيزي,شعار مَن هذا؟,الاتحاد الأفريقي,pic-logo-au
شعارات,تعجيزي,شعار مَن هذا؟,آب ستور,pic-logo-appstore
شعارات,تعجيزي,ما هذا الرمز؟,رمز السلام,pic-logo-peace
