التصنيف,المستوى,السؤال,الإجابة,العائلة
إيموجي,صعب,👁️ 🙈 ⚖️ 😂 🎭 — ما المسرحية؟,شاهد ما شافش حاجة,
إيموجي,صعب,🏫 😈 👨‍🏫 🎭 — ما المسرحية؟,مدرسة المشاغبين,
إيموجي,صعب,🔁 📚 🫏 — ما المثل؟,بالتكرار يتعلم الحمار,
إيموجي,تعجيزي,🧂 🏙️ 🏙️ 📖 — ما الرواية؟,مدن الملح,
إيموجي,تعجيزي,🍂 ✈️ ⬆️ 📖 — ما الرواية؟,موسم الهجرة إلى الشمال,
إيموجي,تعجيزي,👨 👨 👨 ☀️ 🛢️ 📖 — ما الرواية؟,رجال في الشمس,
إيموجي,تعجيزي,🎋 🦵 📖 🇰🇼 — ما الرواية؟,ساق البامبو,
إيموجي,تعجيزي,🏰 ↔️ 🏰 📖 — ما الرواية؟,بين القصرين,بين القصرين
إيموجي,تعجيزي,👶 🏝️ 🦌 📖 — ما الكتاب؟,حي بن يقظان,
إيموجي,تعجيزي,🤴 🔽 🌹 🐍 📖 — ما الكتاب؟,الأمير الصغير,
إيموجي,تعجيزي,📅 📅 📅 👨‍🦯 📖 — ما الكتاب؟,الأيام,الأيام
إيموجي,تعجيزي,🇬🇧 🧑 🐪 🏜️ 🎬 — ما الفيلم؟,لورنس العرب,
إيموجي,تعجيزي,🏝️ 🏐 ✈️ 💥 🎬 — ما الفيلم؟,كاست أواي,
إيموجي,تعجيزي,💤 🌀 🎩 🔝 🎬 — ما الفيلم؟,إنسبشن (استهلال),
إيموجي,تعجيزي,🎹 🚢 1️⃣9️⃣0️⃣0️⃣ 🎬 — ما الفيلم؟,أسطورة 1900,
إيموجي,تعجيزي,🚶 💨 🎬 — ما الفيلم؟,ذهب مع الريح,
إيموجي,تعجيزي,🎩 🐴 💀 👨‍👦 🎬 — ما الفيلم؟,العرّاب,
إيموجي,تعجيزي,🏃 🍫 🪶 🎬 — ما الفيلم؟,فورست غامب,
إيموجي,تعجيزي,👻 🎭 🎶 — ما المسرحية الموسيقية؟,شبح الأوبرا,
إيموجي,تعجيزي,🧟 🕌 🇮🇶 📖 — ما الرواية؟,فرانكشتاين في بغداد,
إيموجي,تعجيزي,👩 👩 👩 🌙 📖 — ما الرواية؟,سيدات القمر,
إيموجي,تعجيزي,🧠 💪 📖 🇩🇿 — ما الرواية؟,ذاكرة الجسد,
إيموجي,تعجيزي,🏢 🇪🇬 📖 — ما الرواية؟,عمارة يعقوبيان,
