التصنيف,المستوى,السؤال,الإجابة,العائلة
معلومات عامة,تعجيزي,"ما العاصمة التي يعني اسمها بالإسبانيّة «الهواء الطيّب»؟","بوينس آيرس",
معلومات عامة,تعجيزي,"ما الدولة التي يشرب أهلها أكثر الشاي للفرد في العالم؟","تركيا",
معلومات عامة,تعجيزي,"ما العاصمة التي يعني اسمها بلغة الملايو «ملتقى النهرين الموحل»؟","كوالالمبور",
معلومات عامة,تعجيزي,"ما الدولة التي يعني اسمها «أرض الطاهرين»؟","باكستان",
معلومات عامة,تعجيزي,"ما الدولة الأولى في العالم في إنتاج الفانيليا؟","مدغشقر",
معلومات عامة,تعجيزي,"ما الدولة الأولى في العالم في إنتاج الكاكاو؟","ساحل العاج",
معلومات عامة,تعجيزي,"من أيّ مدينةٍ عراقيّة أخذ قماش «الموسلين» اسمه؟","الموصل",
معلومات عامة,تعجيزي,"من أيّ لغةٍ جاءت كلمة «روبوت»؟","التشيكية",
معلومات عامة,تعجيزي,"من أيّ لغةٍ جاءت كلمة «تسونامي»؟","اليابانية",
معلومات عامة,تعجيزي,"ما الدولة التي يُسمّيها أهلها «أوتياروا» أي أرض السحابة البيضاء الطويلة؟","نيوزيلندا",
معلومات عامة,تعجيزي,"ما الدولة الأفريقيّة التي يعني اسمها «جبال الأسود»؟","سيراليون",
معلومات عامة,تعجيزي,"ما الدولة الأوروبيّة التي يعني اسمها «الطريق الشماليّ»؟","النرويج",
معلومات عامة,تعجيزي,"ما الدولة التي يعني اسمها بلغة أهلها «مملكة الشرق»؟","النمسا",
معلومات عامة,تعجيزي,"ما الدولة الأولى في العالم في إنتاج الشاي؟","الصين",
معلومات عامة,تعجيزي,"ما الدولة التي أعادت مدينة ماكاو إلى الصين؟","البرتغال",
معلومات عامة,متوسط,"ما الدولة الأوروبيّة التي يعني اسمها «الأراضي المنخفضة»؟","هولندا",
معلومات عامة,تعجيزي,"ما الدولة الأولى في العالم في إنتاج الزعفران؟","إيران",
معلومات عامة,تعجيزي,"ما الدولة التي يسمّيها أهلها «هيلاس»؟","اليونان",
