التصنيف,المستوى,السؤال,الإجابة,العائلة
معلومات عامة,صعب,"في أيّ مدينةٍ ألمانية حوكم قادة النازيّة بعد الحرب؟","نورمبرغ",
معلومات عامة,صعب,"ما الوصف الذي أطلقه تشرشل على الحدّ الفاصل بين شرق أوروبا وغربها؟","الستار الحديدي",
معلومات عامة,صعب,"ما الثورة التي قادها الشريف حسين بن علي على العثمانيين سنة 1916؟","الثورة العربية الكبرى",
معلومات عامة,صعب,"ما الكتاب الذي جمع فيه جلال الدين الرومي أشعاره الصوفية؟","المثنوي",
معلومات عامة,صعب,"ما الملحمة الشعرية الألمانية التي يبيع بطلها روحه للشيطان وكتبها غوته؟","فاوست",
معلومات عامة,صعب,"ما سيف الملك آرثر الأسطوريّ الذي سحبه من الصخرة؟","إكسكاليبر",الملك آرثر
معلومات عامة,صعب,"ما المدرسة الفلسفية اليونانية التي ترى السعادة في ضبط النفس والرضا بالقدر؟","الرواقية",
معلومات عامة,تعجيزي,"ما خطّ التحصينات الذي بنته فرنسا على حدود ألمانيا فالتفّ عليه الألمان؟","خط ماجينو",
معلومات عامة,تعجيزي,"ما المسرح الياباني التقليدي الذي يؤدّي فيه الرجال أدوار النساء بمكياج أبيض كثيف؟","الكابوكي",
معلومات عامة,تعجيزي,"في أيّ منتجعٍ على البحر الأسود اجتمع روزفلت وتشرشل وستالين لرسم أوروبا بعد الحرب؟","يالطا",
معلومات عامة,تعجيزي,"ما النبات السامّ الذي أُعدم به سقراط؟","الشوكران",
معلومات عامة,تعجيزي,"ما النهر الذي يعبره الموتى إلى العالم السفليّ في أساطير الإغريق؟","ستيكس",
معلومات عامة,تعجيزي,"ما الكلب ذو الرؤوس الثلاثة حارس العالم السفليّ عند الإغريق؟","سيربيروس",
معلومات عامة,تعجيزي,"ما الحرب الطويلة بين أثينا وإسبرطة؟","الحرب البيلوبونيزية",
معلومات عامة,تعجيزي,"ما المدرسة الفنية التي تُرسم فيها اللوحة كلّها بنقاطٍ لونية صغيرة لا بضربات فرشاة؟","التنقيطية",
معلومات عامة,تعجيزي,"ما الحضارة القديمة التي قامت في جزيرة كريت وبنت قصر كنوسوس؟","المينويّة",
معلومات عامة,سهل,"ما اسم العالم الذي صنع مخلوقاً من أجزاء الموتى في رواية ماري شيلي؟","فرانكنشتاين",
معلومات عامة,سهل,"ما التنّورة التقليدية التي يلبسها رجال اسكتلندا؟","الكِلت",
معلومات عامة,سهل,"ما اللغة الرسمية الثانية في كندا إلى جانب الإنجليزية؟","الفرنسية",
معلومات عامة,سهل,"ما اسم العملاق ذي العين الواحدة في أساطير الإغريق؟","السيكلوب",
معلومات عامة,سهل,"ما اسم الحصان المجنّح في أساطير الإغريق؟","بيغاسوس",
معلومات عامة,سهل,"ما اسم الشجرة القزمة التي يزرعها اليابانيون في أصص صغيرة؟","البونساي",
معلومات عامة,سهل,"ما اسم سيف الساموراي الياباني المنحني؟","الكاتانا",
معلومات عامة,سهل,"ما اسم الحرب الجاهليّة بين عبس وذبيان بسبب سباق فرسين؟","داحس والغبراء",
معلومات عامة,سهل,"ما الشخصيّة ذات الوجهين في رواية ستيفنسون: طبيبٌ طيّب يتحوّل شرّيراً؟","دكتور جيكل ومستر هايد",
معلومات عامة,متوسط,"ما اسم محبوبة جميل بن معمر التي نُسب إليها؟","بثينة",
معلومات عامة,متوسط,"ما اسم الوحش ذي الرؤوس الكثيرة الذي كلّما قُطع له رأسٌ نبت مكانه رأسان؟","الهيدرا",
معلومات عامة,متوسط,"ما اسم إله الحرب عند الإغريق؟","آريس",
معلومات عامة,متوسط,"ما اسم إله المكر في أساطير الإسكندنافيّين؟","لوكي",
معلومات عامة,متوسط,"ما اسم مهرجان الألوان الهنديّ الذي يتراشق فيه الناس بالمساحيق الملوّنة؟","هولي",
معلومات عامة,متوسط,"ما اللغة الرسمية في باكستان إلى جانب الإنجليزية؟","الأردية",
معلومات عامة,متوسط,"ما سكّة الحديد العثمانيّة التي ربطت دمشق بالمدينة المنوّرة؟","سكّة حديد الحجاز",
معلومات عامة,متوسط,"ما الدولة التي باعت ألاسكا للولايات المتحدة؟","روسيا",
معلومات عامة,متوسط,"ما الفلسفة الصينية التي يرمز إليها «الين واليانغ»؟","الطاوية",
معلومات عامة,متوسط,"ما اسم الأسطول الإسبانيّ الضخم الذي هُزم أمام إنجلترا؟","الأرمادا",
معلومات عامة,متوسط,"ما لقب المستشار الألمانيّ بسمارك؟","المستشار الحديدي",
معلومات عامة,صعب,"ما اسم كبير آلهة الإسكندنافيّين ذي العين الواحدة؟","أودين",أودين
معلومات عامة,صعب,"ما اسم نهاية العالم في أساطير الإسكندنافيّين؟","راغناروك",
معلومات عامة,صعب,"ما اسم محبوبة كُثيّر التي نُسب إليها؟","عزّة",
معلومات عامة,صعب,"من الزعيم الريفيّ الذي هزم الإسبان في معركة أنوال؟","عبد الكريم الخطابي",
معلومات عامة,صعب,"ما الاحتجاج الذي ألقى فيه المستوطنون الأمريكيون الشاي في البحر؟","حفلة شاي بوسطن",
معلومات عامة,صعب,"ما اسم الكائنات البحرية التي تسحر البحّارة بغنائها في أساطير الإغريق؟","السيرينات",
معلومات عامة,صعب,"ما اسم مهرجان الأنوار الهندوسيّ الذي تُضاء فيه القناديل؟","ديوالي",
معلومات عامة,صعب,"ما لقب تيمور القائد المغوليّ الذي اشتهر به في العربية؟","تيمورلنك (الأعرج)",
معلومات عامة,صعب,"ما العين التي كانت رمز الحماية عند المصريّين القدماء؟","عين حورس",
معلومات عامة,صعب,"ما الفيلسوف اليونانيّ الذي عاش في برميلٍ ازدراءً للترف؟","ديوجين",
معلومات عامة,تعجيزي,"ما اسم قاعة المحاربين القتلى في قصر أودين؟","فالهالا",أودين
معلومات عامة,تعجيزي,"ما اسم الشجرة العملاقة التي تحمل العوالم في أساطير الإسكندنافيّين؟","إغدراسيل",
معلومات عامة,تعجيزي,"ما المدرسة التي أسّسها أرسطو في أثينا؟","الليسيوم",
معلومات عامة,تعجيزي,"في وادي نهر السند قامت حضارةٌ قديمة — ما اسمها؟","هارابا",
معلومات عامة,تعجيزي,"كم لغةً رسميّة في سويسرا؟","أربع",
معلومات عامة,تعجيزي,"ما اسم جسر قوس قزح الذي يصل عالم البشر بعالم الآلهة عند الإسكندنافيّين؟","بيفروست",
معلومات عامة,سهل,"ما المدينة العربية الملقّبة بـ«مدينة الألف مئذنة»؟","القاهرة",
معلومات عامة,سهل,"ما المدينة الأمريكية الملقّبة بـ«التفاحة الكبيرة»؟","نيويورك",
معلومات عامة,سهل,"ما الرقصة البرازيلية التي تشتهر بها كرنفالات ريو؟","السامبا",
معلومات عامة,سهل,"ما لقب القرصان الإنجليزيّ إدوارد تيتش الذي أرعب البحر الكاريبيّ؟","اللحية السوداء",
معلومات عامة,سهل,"ما اسم الراوي الذي يقصّ السِّيَر الشعبيّة على روّاد المقاهي؟","الحكواتي",
معلومات عامة,سهل,"ما اسم نظام الفصل العنصريّ الذي حكم جنوب أفريقيا؟","الأبارتايد",
معلومات عامة,متوسط,"ما المدينة الإيطاليّة الملقّبة بـ«المدينة الخالدة»؟","روما",
معلومات عامة,متوسط,"ما المدينة المغربيّة الملقّبة بـ«المدينة الحمراء»؟","مراكش",
معلومات عامة,متوسط,"ما الدولة التي لُقّبت بـ«الرجل المريض» في أواخر أيّامها؟","الدولة العثمانية",
معلومات عامة,متوسط,"ما البلد العربيّ الذي لُقّب بـ«سويسرا الشرق»؟","لبنان",
معلومات عامة,متوسط,"ما سلسلة الروايات المصريّة التي بطلها ضابط المخابرات أدهم صبري؟","رجل المستحيل",
معلومات عامة,متوسط,"ما سلسلة روايات الرعب التي كتبها أحمد خالد توفيق وبطلها طبيبٌ عجوز؟","ما وراء الطبيعة",ما وراء الطبيعة
معلومات عامة,متوسط,"ما القرصان المسلم الذي صار أمير البحر العثمانيّ ولقّبه الأوروبيّون باللحية الحمراء؟","خير الدين بربروس",
معلومات عامة,صعب,"ما المحصول الذي أدّى فساده إلى المجاعة الكبرى في أيرلندا؟","البطاطس",
معلومات عامة,صعب,"ما المدينة الملكيّة التي بناها عبد الرحمن الناصر قرب قرطبة؟","مدينة الزهراء",
معلومات عامة,صعب,"ما الدولة التي أسّسها ابن تومرت في المغرب وخلفت المرابطين؟","الموحّدون",
معلومات عامة,صعب,"ما اسم الأحدب في رواية فيكتور هوغو «أحدب نوتردام»؟","كوازيمودو",
معلومات عامة,صعب,"ما فنّ الدمى التراثيّ الذي تُعرض فيه ظلال شخصيّتي كركوز وعيواظ؟","خيال الظلّ",
معلومات عامة,صعب,"ما اسم الطبيب العجوز بطل سلسلة «ما وراء الطبيعة»؟","رفعت إسماعيل",ما وراء الطبيعة
معلومات عامة,صعب,"أيّ كتابٍ صغيرٍ جمع أقوال ماو تسي تونغ وحمله الصينيّون في الثورة الثقافيّة؟","الكتاب الأحمر",
معلومات عامة,تعجيزي,"ما اسم علم القراصنة الأسود ذي الجمجمة والعظمتين؟","جولي روجر",
معلومات عامة,تعجيزي,"ما اسم سفينة القبطان آهاب في «موبي ديك»؟","بيكود",
معلومات عامة,سهل,"ما المدينة الملقّبة بـ«عروس البحر الأحمر»؟","جدّة",
معلومات عامة,سهل,"ما أداة الصيد الأستراليّة المعقوفة التي تعود إلى راميها؟","البومرانغ",
معلومات عامة,سهل,"ما اسم البيت الثلجيّ المقبّب لشعوب الإسكيمو؟","الإيغلو",
معلومات عامة,سهل,"ما القبّعة المكسيكيّة العريضة الحوافّ؟","السومبريرو",
معلومات عامة,سهل,"ما اسم العربة ذات العجلتين التي يجرّها رجلٌ في شوارع آسيا؟","الريكشا",
معلومات عامة,سهل,"ما اسم الراهب الغامض الذي سيطر على بلاط آخر قياصرة روسيا؟","راسبوتين",
معلومات عامة,متوسط,"ما الدولة التي يعني اسمها بلغتها «المملكة الوسطى»؟","الصين",
معلومات عامة,متوسط,"ما الجاسوسة الراقصة التي أعدمها الفرنسيّون في الحرب العالميّة الأولى؟","ماتا هاري",
معلومات عامة,متوسط,"ما آلة التشفير الألمانيّة التي فكّ الحلفاء شيفرتها في الحرب العالميّة الثانية؟","إنيغما",
معلومات عامة,متوسط,"ما الأسرة التي حكمت روسيا ثلاثة قرون حتى الثورة؟","رومانوف",
معلومات عامة,تعجيزي,"ما اسم خيمة البدو المغول الدائريّة؟","اليورت",
معلومات عامة,تعجيزي,"ما المنطاد الألمانيّ العملاق الذي احترق عند هبوطه في أمريكا؟","هيندنبورغ",
معلومات عامة,تعجيزي,"ما اسم القصف الجويّ الألمانيّ المتواصل على لندن في الحرب العالميّة الثانية؟","البليتز",
معلومات عامة,تعجيزي,"مع أيّ جزيرةٍ خاضت بريطانيا أقصر حربٍ في التاريخ، دامت أقلّ من ساعة؟","زنجبار",
معلومات عامة,تعجيزي,"ما الدولة التي خاضت مع السلفادور ما عُرف بـ«حرب كرة القدم»؟","هندوراس",
معلومات عامة,تعجيزي,"ما الحصن في تكساس الذي صار حصاره رمزاً عند الأمريكيّين؟","ألامو",
معلومات عامة,تعجيزي,"ما اسم الأميرة الروسيّة التي شاع أنّها نجت من إعدام أسرتها؟","أناستازيا",
معلومات عامة,تعجيزي,"ما الأسرة الملكيّة التي حكمت النمسا قروناً؟","هابسبورغ",
معلومات عامة,تعجيزي,"ما الأسرة الثريّة التي رعت فنّاني النهضة في فلورنسا؟","ميديشي",
معلومات عامة,تعجيزي,"ما أسرة ملوك فرنسا التي أسقطتها الثورة الفرنسيّة؟","البوربون",
معلومات عامة,تعجيزي,"ما الجسر الذي أقامه الحلفاء بالطائرات لإمداد برلين المحاصرة؟","جسر برلين الجويّ",
معلومات عامة,سهل,"ما اسم الدمية الروسيّة الخشبيّة التي تتداخل داخل بعضها؟","الماتريوشكا",
معلومات عامة,سهل,"ما المخلوق الأسطوريّ الذي يُقال إنّه يعيش في بحيرةٍ اسكتلنديّة؟","وحش لوخ نس",
معلومات عامة,سهل,"ما اسم الجزيرة الأسطوريّة الغارقة التي وصفها أفلاطون؟","أطلانتس",
معلومات عامة,تعجيزي,"ما الحجر الذي بحث عنه الخيميائيّون ليحوّل المعادن إلى ذهب؟","حجر الفلاسفة",
معلومات عامة,متوسط,"ما المدينة الذهبيّة الأسطوريّة التي بحث عنها المستكشفون الإسبان في أمريكا الجنوبيّة؟","إلدورادو",
معلومات عامة,متوسط,"ما التنظيم العسكريّ الصليبيّ الذي اتّخذ من المسجد الأقصى مقرّاً له؟","فرسان الهيكل",
معلومات عامة,تعجيزي,"ما الكأس الأسطوريّة التي خرج فرسان الملك آرثر في طلبها؟","الكأس المقدّسة",الملك آرثر
