التصنيف,المستوى,السؤال,الإجابة
مسلسلات أجنبية,تعجيزي,في «ديكستر»، من الممثّل الذي أدّى «قاتل الثالوث» آرثر ميتشل؟,جون ليثغو
مسلسلات أجنبية,تعجيزي,في «فريندز»، ما اسم ابنة روس وريتشل؟,إيما
مسلسلات أجنبية,تعجيزي,في «لا كاسا دي بابيل»، ما الاسم الحقيقي الكامل للبروفيسور؟,سيرجيو ماركينا
مسلسلات أجنبية,تعجيزي,في «سترينجر ثينغز»، ما اسم الكيان الذي سيطر على ويل في الموسم الثاني؟,مايند فلاير
مسلسلات أجنبية,تعجيزي,في «ذا ووكينغ ديد»، ما اسم شقيق داريل ديكسون؟,ميرل
مسلسلات أجنبية,تعجيزي,في «لعبة الحبار»، ما اسم الشرطي الذي تسلّل إلى الجزيرة بحثاً عن أخيه؟,هوانغ جون-هو
مسلسلات أجنبية,تعجيزي,في «هاوس»، ما المرض الذي يستبعده هاوس دائماً بعبارته «إنه ليس…»؟,الذئبة (لوبس)
مسلسلات أجنبية,تعجيزي,في «شيرلوك»، ما اسم صاحبة البيت في شارع بيكر؟,السيدة هدسون
مسلسلات أجنبية,تعجيزي,في «ذا سوبرانوز»، ما اسم النادي الذي يجتمع فيه رجال توني؟,بادا بينغ
مسلسلات أجنبية,تعجيزي,في «بيكي بلايندرز»، ما اسم شقيق توماس شيلبي الأكبر؟,آرثر
مسلسلات أجنبية,تعجيزي,في «فايكنغز»، ما اسم زوجة راغنار الأولى المحاربة؟,لاغيرثا
مسلسلات أجنبية,تعجيزي,في «تشيرنوبل»، ما اسم المدينة التي أُخليت بجوار المفاعل؟,بريبيات
مسلسلات أجنبية,تعجيزي,في «حريم السلطان»، ما اسم الصدر الأعظم صديق السلطان سليمان الذي أمر بإعدامه؟,إبراهيم باشا
