التصنيف,المستوى,السؤال,الإجابة,الموضوع
من القائل؟,متوسط,من قائل: «إنّ الرسولَ لنورٌ يُستضاء به * مهنّدٌ من سيوف الله مسلولُ»؟,كعب بن زهير,الموسوعة ص947
من القائل؟,متوسط,من قائل: «سأعيشُ رغمَ الداء والأعداء * كالنسر فوق القمّة الشمّاء»؟,أبو القاسم الشابي,الموسوعة ص948
من القائل؟,متوسط,من قائل: «أراكَ عصيَّ الدمعِ شيمتُك الصبرُ * أما للهوى نهيٌ عليك ولا أمرُ»؟,أبو فراس الحمداني,الموسوعة ص949
من القائل؟,متوسط,من قائل: «قف دون رأيك في الحياة مجاهداً * إنّ الحياةَ عقيدةٌ وجهادُ»؟,أحمد شوقي,الموسوعة ص950
من القائل؟,متوسط,من قائل: «أنا البحرُ في أحشائه الدرُّ كامنٌ * فهل سألوا الغوّاصَ عن صدفاتي»؟,حافظ إبراهيم,الموسوعة ص952
من القائل؟,متوسط,من قائل: «تعاظمني ذنبي فلمّا قرنتُه * بعفوك ربّي كان عفوُك أعظما»؟,الإمام الشافعي,الموسوعة ص954
من القائل؟,متوسط,من قائل: «وتعظُم في عين الصغير صغارُها * وتصغُر في عين العظيم العظائمُ»؟,المتنبي,الموسوعة ص954
من القائل؟,متوسط,من قائل: «ليس لديّ ما أقدّمه سوى الدم والكدّ والدموع والعرق»؟,تشرشل,الموسوعة ص954
من القائل؟,صعب,من قائل: «وإذا أُصيب القومُ في أخلاقهم * فأقم عليهم مأتماً وعويلا»؟,أحمد شوقي,الموسوعة ص941
من القائل؟,صعب,من قائل: «لا تقل أصلي وفصلي أبداً * إنّما أصلُ الفتى ما قد حصل»؟,ابن الوردي,الموسوعة ص940
من القائل؟,صعب,من قائل: «لأن أرعى الجمال عند ابن تاشفين خيرٌ من أن أرعى الخنازير عند ألفونسو»؟,المعتمد بن عباد,الموسوعة ص943
من القائل؟,صعب,من قائل: «كلُّ ابنِ أنثى وإن طالت سلامتُه * يوماً على آلةٍ حدباءَ محمولُ»؟,كعب بن زهير,الموسوعة ص943
من القائل؟,صعب,من قائل: «الرأيُ قبل شجاعة الشجعانِ * هو أوّلٌ وهي المحلُّ الثاني»؟,المتنبي,الموسوعة ص945
من القائل؟,صعب,من قائل: «صلاحُ أمرِك للأخلاقِ مرجعُه * فقوّمِ النفسَ بالأخلاق تستقمِ»؟,أحمد شوقي,الموسوعة ص945
من القائل؟,صعب,من قائل: «قد مات قومٌ وما ماتت مكارمُهم * وعاش قومٌ وهم في الناس أمواتُ»؟,الإمام الشافعي,الموسوعة ص947
من القائل؟,صعب,من قائل: «وإذا أراد الله نشرَ فضيلةٍ * طُويت أتاح لها لسانَ حسودِ»؟,أبو تمام,الموسوعة ص949
من القائل؟,صعب,من قائل: «وإنّي وإن كنتُ الأخيرَ زمانُه * لآتٍ بما لم تستطعه الأوائلُ»؟,أبو العلاء المعري,الموسوعة ص949
من القائل؟,صعب,من الخطيب الجاهلي القائل: «من عاش مات، ومن مات فات، وكلُّ ما هو آتٍ آت»؟,قسّ بن ساعدة,الموسوعة ص950
من القائل؟,صعب,من قائل: «يا أعدلَ الناسِ إلا في معاملتي * فيكَ الخصامُ وأنت الخصمُ والحكمُ»؟,المتنبي,الموسوعة ص951
من القائل؟,صعب,من قائل: «أوقِد فإنّ الليلَ ليلٌ قَرّ * والريحَ يا غلامُ ريحٌ صِرّ»؟,حاتم الطائي,الموسوعة ص951
من القائل؟,صعب,من قائل: «عن المرء لا تسأل وسل عن قرينه * فكلُّ قرينٍ بالمقارَن يقتدي»؟,عدي بن زيد,الموسوعة ص952
من القائل؟,صعب,من قائل: «أعلّمه الرمايةَ كلَّ يومٍ * فلمّا اشتدّ ساعدُه رماني»؟,معن بن أوس,الموسوعة ص952
من القائل؟,صعب,من قائل: «سلامٌ على الدنيا إذا لم يكن بها * صديقٌ صدوقٌ صادقُ الوعد منصفُ»؟,الإمام الشافعي,الموسوعة ص953
من القائل؟,صعب,من قائل: «وما الناسُ إلا هالكٌ وابنُ هالكٍ * وذو نسبٍ في الهالكين عريقُ»؟,أبو نواس,الموسوعة ص954
من القائل؟,تعجيزي,من قائل: «ومن لم يمت بالسيف مات بغيره * تعدّدت الأسبابُ والموتُ واحدُ»؟,ابن نباتة السعدي,الموسوعة ص948
من القائل؟,تعجيزي,من قائل: «متى يبلغ البنيانُ يوماً تمامَه * إذا كنتَ تبنيه وغيرُك يهدمُ»؟,صالح بن عبد القدوس,الموسوعة ص951
