id,category,level,action,note,question,answer
"ADM1490","إسلامي","صعب","حجب","مكرّر مع ADM3507 (الدعوة سرّاً ثلاث سنين)","كم سنةً دامت الدعوة سرّاً قبل الجهر بها؟","ثلاث"
"H046","إسلامي","صعب","حجب","مكرّر مع ADM3192 (عمر والتقويم)","من أول من وضع التقويم الهجري؟","عمر بن الخطاب"
"H147","إسلامي","صعب","حجب","ابن عبّاس للمرّة الرابعة (M601، ADM3183)","من الصحابي الملقب بترجمان القرآن؟","عبد الله بن عباس"
"H045","إسلامي","صعب","حجب","مكرّر مع ADM3468 (عثمان وحّد المصاحف)","من الخليفة الذي وحّد المصاحف ونسخها؟","عثمان بن عفان"
"ADM1502","إسلامي","تعجيزي","حجب","مكرّر مع ADM4182 (ودّان)","ما اسم أوّل غزوةٍ خرج فيها النبيّ بنفسه؟","ودّان"
"ADM1773","الدوري الإنجليزي","صعب","حجب","مقلوب ADM1743 (أرسنال بلا هزيمة)","في أيّ موسمٍ أنهى أرسنال الدوري بلا هزيمة؟","موسم 2003-2004"
"ADM6248","الزمن الجميل","تعجيزي","حجب","مكرّر مع ADM6237 (مايا النحلة)","ما الاسم الأصليّ لـ«زينة ونحول»؟","مايا النحلة"
"ADM4183","السيرة النبوية","صعب","حجب","مكرّر مع ADM2008 (زينب كبرى البنات)","من أوّل بنات النبي ﷺ زواجاً وتزوّجها أبو العاص بن الربيع؟","زينب"
"ADM2009","السيرة النبوية","صعب","حجب","الجواب في نصّ ADM4179 (إبراهيم ابن النبيّ)","ما اسم ابن النبيّ صلى الله عليه وسلم من مارية القبطيّة؟","إبراهيم"
"ADM2013","السيرة النبوية","صعب","حجب","مكرّر مع M091 (ذو النورين)","من الصحابيّ الذي تزوّج ابنتَي النبيّ صلى الله عليه وسلم واحدةً بعد الأخرى؟","عثمان بن عفّان رضي الله عنه"
"ADM3189","الصحابة والتابعون","سهل","حجب","مكرّر مع ADM2324 (أبو ذرّ والحديث نفسه)","من الصحابيّ الزاهد الذي قال فيه النبيّ صلى الله عليه وسلم «ما أظلّت الخضراء ولا أقلّت الغبراء أصدق لهجةً منه»؟","أبو ذرّ الغفاريّ رضي الله عنه"
"ADM4367","الصحابة والتابعون","صعب","حجب","الجواب في نصّ ADM3207 (عكرمة/اليرموك)","في أيّ معركة استُشهد عكرمة بن أبي جهل؟","اليرموك"
"ADM4417","الصحابة والتابعون","صعب","حجب","الجواب في نصّ ADM2328 (سورة طه)","أيّ سورة قرأها عمر بن الخطاب في بيت أخته فكانت سبب إسلامه؟","طه"
"ADM2341","الصحابة والتابعون","تعجيزي","حجب","مكرّر مع ADM4419 (آخر أمّهات المؤمنين وفاةً)","من آخر أمّهات المؤمنين وفاةً على المشهور؟","أمّ سلمة رضي الله عنها"
"ADM2355","الصحابة والتابعون","تعجيزي","حجب","مكرّر مع ADM4421 (قتيبة)","من التابعيّ فاتح بلاد ما وراء النهر (بخارى وسمرقند)؟","قتيبة بن مسلم الباهليّ"
"ADM4422","الصحابة والتابعون","صعب","حجب","الجواب في نصّ ADM4392 (خالد/ذات السلاسل)","من قائد المسلمين في معركة «ذات السلاسل» ضد الفرس سنة 12هـ؟","خالد بن الوليد"
"ADM3248","الصحابة والتابعون","تعجيزي","حجب","مكرّر مع ADM2359 (عطاء) في الخليّة نفسها","من التابعيّ المكّيّ الذي كان مفتي مكّة وعرض عليه عمر بن عبد العزيز القضاء؟","عطاء بن أبي رباح"
"ADM3249","الصحابة والتابعون","تعجيزي","حجب","مكرّر مع M172 (طارق فاتح الأندلس)","من التابعيّ فاتح الأندلس؟","طارق بن زياد"
"ADM3254","الصحابة والتابعون","تعجيزي","حجب","مكرّر مع ADM3190 (الخنساء)","من الصحابيّة الشاعرة التي رثت أخويها صخراً ومعاوية وأسلمت مع قومها بني سليم؟","الخنساء رضي الله عنها"
"ADM3488","القرآن الكريم","تعجيزي","حجب","مكرّر مع ADM3283 (قارون)","ما اسم الرجل الذي بغى على قومه وخسف الله به الأرض في سورة القصص؟","قارون"
"ADM1408","الكويت","تعجيزي","حجب","مقلوب H286 (مركز جابر 2016)","في أيّ سنةٍ افتُتح مركز الشيخ جابر الأحمد الثقافيّ؟","2016"
"H052","تاريخ وحضارات","صعب","حجب","مكرّر مع M441 (ابن بطوطة)","من الرحالة المسلم صاحب أشهر رحلة في التاريخ الإسلامي؟","ابن بطوطة"
"H124","تاريخ وحضارات","صعب","حجب","مكرّر مع M482 (حمورابي)","من الملك البابلي صاحب أقدم شريعة مكتوبة؟","حمورابي"
"H128","تاريخ وحضارات","صعب","حجب","الجواب في نصّ ADM2192 (حجر رشيد)","ما الحجر الذي مكّن العلماء من فك رموز الهيروغليفية؟","حجر رشيد"
"H131","تاريخ وحضارات","صعب","حجب","مقلوب H176 (عين جالوت/قطز)","ما المعركة التي أوقفت الزحف المغولي على بلاد الشام؟","معركة عين جالوت"
"H173","تاريخ وحضارات","صعب","حجب","الجواب في نصّ ADM5237 (غرناطة)","ما آخر معاقل المسلمين في الأندلس سقوطًا؟","غرناطة"
"H175","تاريخ وحضارات","صعب","حجب","الجواب في نصّ H176 (المماليك)","ما الدولة التي حكمت مصر قبل العثمانيين وهزمت المغول؟","دولة المماليك"
"H177","تاريخ وحضارات","صعب","حجب","الجواب في نصّ ADM6298 (هولاكو 1258)","في أي عام سقطت بغداد بيد المغول؟","1258"
"H178","تاريخ وحضارات","صعب","حجب","مكرّر مع M442 (جنكيز خان)","من مؤسس إمبراطورية المغول؟","جنكيز خان"
"H182","تاريخ وحضارات","صعب","حجب","مقلوب H272 (اتّفاقيّة 1899)","في أي عام وقّعت الكويت اتفاقية الحماية مع بريطانيا؟","1899"
"ADM6292","تقنية ومنوعات","سهل","حجب","مكرّر مع H142 (التيرابايت) — بديلُ اليوم يُسحب","ما وحدة التخزين التي تساوي ألف غيغابايت؟","تيرابايت"
"ADM5137","جغرافيا ومعالم","صعب","حجب","مقلوب ADM3860 (إيدو/طوكيو)","ما الاسم القديم لمدينة طوكيو؟","إيدو"
"ADM4276","حروف","صعب","حجب","مكرّر مع ADM5089 (كوبا)","ما اسم أكبر جزيرة في البحر الكاريبي؟","كوبا"
"ADM4279","حروف","صعب","حجب","مقلوب ADM2198 (سان سيرو)","ما اسم الملعب الذي يتقاسمه ناديا ميلان وإنتر؟","سان سيرو"
"ADM4281","حروف","صعب","حجب","مكرّر مع ADM5219 (بورقيبة)","من أوّل رئيس للجمهورية التونسية؟","بورقيبة"
"ADM4283","حروف","صعب","حجب","مكرّر مع ADM5228 (غورباتشوف)","من آخر زعيم للاتحاد السوفييتي؟","غورباتشوف"
"ADM4288","حروف","تعجيزي","حجب","مكرّر مع M597 (ماي فلاور)","ما اسم السفينة التي حملت المهاجرين الإنجليز الأوائل إلى أمريكا عام 1620؟","مايفلاور"
"ADM4297","حروف","تعجيزي","حجب","مكرّر مع ADM1253 (جيبلي)","ما اسم الاستوديو الياباني الذي أنتج فيلم «سبيريتد أواي»؟","غيبلي"
"ADM4304","حروف","تعجيزي","حجب","مكرّر مع ADM5213 (السادات نوبل)","من أوّل عربي فاز بجائزة نوبل؟","السادات"
"ADM4298","حروف","تعجيزي","حجب","الجواب في نصّ ADM2925 (تينزينغ/هيلاري)","من النيوزيلندي الذي كان أوّل من بلغ قمّة إيفرست مع الشيربا تنزينغ عام 1953؟","هيلاري"
"ADM3887","حروف","تعجيزي","حجب","مكرّر مع ADM2936 (بمبرتون)","من مخترع مشروب الكوكاكولا؟","بيمبرتون"
"ADM1410","تاريخ وحضارات","تعجيزي","حجب","الجواب في نصّه يكشف ADM2179 (بوّابة عشتار) ويكرّر ADM2160","من الملك البابليّ الذي بنى بوّابة عشتار؟","نبوخذ نصّر الثاني"
"ADM1426","تاريخ وحضارات","تعجيزي","حجب","مكرّر مع ADM2172 (إيمحوتب)","أوّل هرمٍ مدرّج في مصر بناه معماريٌّ شهير — ما اسمه؟","إمحوتب"
"ADM2174","حضارات قديمة","تعجيزي","حجب","مكرّر مع ADM4050 (نارمر)","من الملك الذي يُرجَّح أنّه وحّد مصر العليا والسفلى؟","نارمر"
"ADM1425","تاريخ وحضارات","تعجيزي","حجب","مكرّر مع ADM1085 (جيش الطين)","جيشُ الطين وُجد في مقبرة أيّ إمبراطورٍ صينيّ؟","تشين شي هوانغ"
"ADM1864","دوري أبطال أوروبا","تعجيزي","حجب","مقلوب ADM1808 (ميلان سبع مرّات)","كم لقباً رفع نادي ميلان في تاريخ المسابقة؟","سبعة ألقاب"
"ADM2733","ديزني وبيكسار","صعب","حجب","الجواب في نصّ ADM2705 (جودي هوبس)","ما اسم الأرنبة الشرطيّة بطلة «زوتوبيا»؟","جودي هوبس"
"ADM2736","ديزني وبيكسار","صعب","حجب","الجواب في نصّ ADM2700 (ماوي)","في «موانا»، ما اسم نصف الإله الذي يحمل صنّارةً سحريّة؟","ماوي"
"ADM2744","ديزني وبيكسار","تعجيزي","حجب","مكرّر مع ADM2723 (لوكسو جونيور)","ما اسم أوّل فيلم قصير حاسوبيّ لبيكسار عن مصباحين مكتبيّين عام 1986؟","لوكسو جونيور"
"ADM2998","ديزني وبيكسار","تعجيزي","حجب","مقلوب ADM2740 (1928)","في أيّ سنةٍ ظهر ميكي ماوس لأوّل مرّة؟","1928"
"ADM3002","ديزني وبيكسار","تعجيزي","حجب","مقلوب ADM2720 (لوكاس فيلم)","قبل أن يشتريها جوبز كانت بيكسار قسم الحاسوب في شركة أيّ مخرجٍ شهير؟","جورج لوكاس"
"H209","رياضة عامة","صعب","حجب","الجواب في نصّ ADM4027 (التايكوندو الكوريّ)","في أي دولة نشأت رياضة التايكوندو؟","كوريا الجنوبية"
"S044","رياضة عامة","صعب","حجب","مكرّر مع ADM3665 (المغرب نصف النهائيّ)","ما أول منتخب أفريقي يبلغ الدور نصف النهائي في كأس العالم؟","المغرب"
"S046","رياضة عامة","صعب","حجب","مكرّر مع ADM3674 (مبابي ثلاثيّة)","من اللاعب الذي سجّل ثلاثية في نهائي كأس العالم 2022؟","كيليان مبابي"
"ADM1323","رياضة عامة","تعجيزي","حجب","مكرّر مع H112 (شامونيه)","الدورة الأولمبيّة الشتويّة الأولى أُقيمت في بلدةٍ فرنسيّة — ما اسمها؟","شامونيه"
"ADM1324","رياضة عامة","تعجيزي","حجب","مكرّر مع ADM1516 (كين أستون)","الحكم الذي ابتكر البطاقتين استوحى الفكرة من إشارة المرور — ما جنسيّته؟","إنجليزي"
"ADM1508","رياضة عامة","تعجيزي","حجب","مكرّر مع M271 (42.195)","كم متراً يبلغ طول سباق الماراثون بالضبط؟","42195"
"ADM1510","رياضة عامة","تعجيزي","حجب","مكرّر مع M291 (3.05)","كم يبلغ ارتفاع سلّة كرة السلّة عن الأرض بالأمتار؟","3.05"
"ADM1519","رياضة عامة","تعجيزي","حجب","مكرّر مع M487 (بولت)","ما اسم العدّاء صاحب الرقم القياسيّ 9.58 ثانية في المئة متر؟","أوسين بولت"
"ADM1243","سينما ودراما","صعب","حجب","مقلوب ADM1242 (إم بي سي)","ما اسم أوّل قناةٍ فضائيّة عربيّة خاصّة؟","إم بي سي"
"H293","سينما ودراما","صعب","حجب","الجواب في نصوص H294 وH309 وH310 (بس يا بحر)","ما أول فيلم روائي طويل أُنتج في الكويت وصوّر حياة الغوص على اللؤلؤ؟","بس يا بحر"
"ADM1564","سينما ودراما","تعجيزي","حجب","خطأ واقعة: «المومياء» ليس أوّل مرشّحٍ مصريّ — دعاء الكروان قبله (H368)","ما اسم أوّل فيلمٍ مصريّ رُشّح للأوسكار؟","المومياء"
"H108","طب وصحة","صعب","حجب","مكرّر مع M472 (ابن النفيس)","من أول من وصف الدورة الدموية الصغرى؟","ابن النفيس"
"H049","علوم واختراعات","صعب","حجب","مكرّر مع M474 (جابر بن حيّان)","من العالم المسلم الملقب بأبي الكيمياء؟","جابر بن حيان"
"H050","علوم واختراعات","صعب","حجب","مكرّر مع M475 (ابن الهيثم)","من العالم المسلم الذي يُعد مؤسس علم البصريات؟","ابن الهيثم"
"ADM1441","علوم واختراعات","صعب","حجب","الجواب في نصّ M440 (تسلا)","ماذا تقيس وحدة «التسلا»؟","المجال المغناطيسي"
"H080","علوم واختراعات","متوسط","حجب","مكرّر مع H258 (أرخميدس)","من العالم صاحب قاعدة الطفو الشهيرة؟","أرخميدس"
"ADM2080","قصص الأنبياء","صعب","حجب","الجواب في نصوص ADM3267 وE222 (سبأ)","من أيّ مملكةٍ كانت الملكة التي جاءها كتاب سليمان عليه السلام؟","سبأ"
"ADM2084","قصص الأنبياء","صعب","حجب","مكرّر مع E490 (صبر أيّوب)","ما اسم النبيّ الذي ابتُلي في جسده وماله وولده ثمّ عافاه الله؟","أيوب عليه السلام"
"ADM2092","قصص الأنبياء","صعب","حجب","الجواب في نصّ ADM3291 (المنّ والسلوى)","ما الطعام الذي أنزله الله على بني إسرائيل في التيه؟","المنّ والسلوى"
"ADM3329","قصص الأنبياء","صعب","حجب","مكرّر مع ADM2068 (الهدهد)","ما اسم الطائر الذي تفقّده سليمان عليه السلام فلم يجده فتوعّده بالذبح؟","الهدهد"
"ADM3317","قصص الأنبياء","تعجيزي","حجب","مقلوب ADM4011 (يحيى المعمدان)","من النبيّ الذي بشّر بعيسى عليه السلام وكان يُعمّد الناس في نهر الأردن؟","يحيى عليه السلام"
"ADM4013","قصص الأنبياء","صعب","حجب","الجواب في نصّ ADM3280 (التابوت)","ما العلامة التي جعلها الله دليلاً على مُلك طالوت في القرآن؟","التابوت"
"ADM1946","كأس العالم","تعجيزي","حجب","الجواب في نصّ ADM1925 (الهدف الذهبيّ)","ما اسم النظام الذي كان ينهي المباراة بأوّل هدفٍ في الوقت الإضافيّ ثمّ أُلغي؟","الهدف الذهبي"
"ADM2241","لغة عربية","صعب","حجب","مقلوب ADM2236 (الخليل/العروض)","من واضع علم العروض؟","الخليل بن أحمد الفراهيدي"
"ADM2242","لغة عربية","صعب","حجب","الجواب في نصّ L036 (معجم العين)","بأيّ حرفٍ بدأ الخليل بن أحمد معجمَه؟","بالعين"
"ADM2249","لغة عربية","صعب","حجب","تافه: جمع ابن","ما جمع كلمة «ابن»؟","أبناء"
"ADM1073","معالم","صعب","حجب","مكرّر مع ADM1407 وM507 (برج الاتّصالات)","ما وظيفة برج التحرير في الكويت إلى جانب كونه معلماً؟","برج اتّصالات"
"ADM1075","معالم","صعب","حجب","مكرّر مع ADM1672 (أبو سمبل/السدّ العالي)","لماذا نُقل معبد أبو سمبل من موضعه الأصلي؟","بناء السدّ العالي"
"ADM1081","معالم","صعب","حجب","مكرّر مع ADM1667 (غاودي)","من المعماريّ الذي صمّم كنيسة ساغرادا فاميليا؟","غاودي"
"ADM1094","معالم","صعب","حجب","الجواب في نصّ ADM1085 (جيش الطين)","من أيّ مادّة صُنعت تماثيل جيش الطين؟","الطين المشويّ"
"ADM1098","معالم","صعب","حجب","مكرّر مع H270 (أبراج الكويت 1979)","في أيّ سنة افتُتحت أبراج الكويت رسميّاً؟","1979"
"ADM1100","معالم","صعب","حجب","مقلوب ADM1071 (إيفل 1889)","في أيّ سنة أقيم معرض باريس الذي بُني له برج إيفل؟","1889"
"ADM1119","معالم","صعب","حجب","مكرّر مع ADM1084 (قبّة الصخرة مثمّنة)","ما الشكل الهندسيّ الذي تتّخذه قبّة الصخرة من الخارج؟","مثمّن"
"ADM1136","معالم","صعب","حجب","مكرّر مع ADM2125 (الإنكا)","إلى أيّ حضارة تعود مدينة ماتشو بيتشو؟","الإنكا"
"ADM1153","معالم","صعب","حجب","مقلوب ADM1674 (بوروبودور/إندونيسيا)","ما اسم أشهر معبد بوذيّ في إندونيسيا؟","بوروبودور"
"E040","تاريخ وحضارات","متوسط","حجب","مكرّر مع ADM1665 (الأنباط)","ما الشعب الذي بنى مدينة البتراء؟","الأنباط"
"L039","أدب وفنون","متوسط","حجب","مقلوب ADM1669 (الأرميتاج/سان بطرسبرغ)","ما اسم أشهر متحف في روسيا ويقع في سان بطرسبرغ؟","متحف الأرميتاج"
"M005","تاريخ وحضارات","متوسط","حجب","مكرّر مع H243 (الخوارزمي)","من العالم المسلم الذي يُنسب إليه تأسيس علم الجبر؟","الخوارزمي"
"H054","تاريخ وحضارات","صعب","حجب","مكرّر مع H247 (الإدريسي)","من الجغرافي المسلم الذي رسم خريطة العالم لملك صقلية؟","الإدريسي"
"ADM2162","حضارات قديمة","صعب","حجب","مكرّر مع H248 (سقراط)","من الفيلسوف الذي حُكم عليه بشرب السمّ في أثينا؟","سقراط"
"H060","أدب وفنون","صعب","حجب","الجواب في نصّ H249 (الجمهوريّة)","ما اسم كتاب أفلاطون الأشهر في السياسة؟","الجمهورية"
"H012","أحياء وفلك","صعب","حجب","مكرّر مع H252 (مندل)","من يُعد مؤسس علم الوراثة؟","جريجور مندل"
"M189","تاريخ وحضارات","متوسط","حجب","مكرّر مع H256 (نوبل/الديناميت)","من مخترع الديناميت؟","ألفريد نوبل"
"M169","تاريخ وحضارات","متوسط","حجب","مكرّر مع H259 (محمد الفاتح)","من السلطان العثماني الذي فتح القسطنطينية؟","محمد الفاتح"
"H220","طب وصحة","صعب","حجب","مكرّر مع H262 (الرازي/الجدري والحصبة)","من الطبيب المسلم الذي فرّق بين الجدري والحصبة؟","أبو بكر الرازي"
"M103","تاريخ وحضارات","متوسط","حجب","مكرّر مع H263 (غوتنبرغ)","من مخترع الطباعة بالحروف المتحركة؟","يوهانس غوتنبرغ"
"H070","أدب وفنون","صعب","حجب","مكرّر مع H264 (فان جوخ/ليلة النجوم)","من رسم لوحة ليلة النجوم؟","فان جوخ"
"ADM1386","أدب وفنون","تعجيزي","حجب","مكرّر مع H265 (تشرشل/نوبل الأدب)","أيّ جائزةٍ نالها تشرشل ولا علاقة لها بالسياسة؟","نوبل في الأدب"
"H377","من أنا؟","صعب","حجب","مقلوب ADM5184 (المأمون/بيت الحكمة)","خليفة عباسي أسّس بيت الحكمة ودعم ترجمة كتب اليونان إلى العربية. من هذه الشخصية؟","المأمون"
"H474","من أنا؟","صعب","حجب","مقلوب ADM4301 (أوبنهايمر/مانهاتن)","عالم أمريكي قاد مشروع مانهاتن لصنع أول قنبلة ذرية ثم عارض سباق التسلّح. من هذه الشخصية؟","روبرت أوبنهايمر"
"ADM1522","أحياء وفلك","تعجيزي","تغيير مستوى","متوسط","ما اسم أبطأ حيوانٍ في العالم؟","الكسلان"
"ADM1533","أحياء وفلك","تعجيزي","تغيير مستوى","متوسط","ما اسم السمكة التي تستطيع توليد صعقةٍ كهربائيّة قويّة؟","الأنقليس الكهربائي"
"H094","أحياء وفلك","صعب","تغيير مستوى","متوسط","ما اسم أكبر نوع من أسماك القرش؟","القرش الحوتي"
"H157","أحياء وفلك","صعب","تغيير مستوى","متوسط","ما اسم العضية المسؤولة عن إنتاج الطاقة في الخلية؟","الميتوكوندريا"
"H062","أدب وفنون","صعب","تغيير مستوى","متوسط","من مؤلف كتاب رأس المال؟","كارل ماركس"
"H201","أدب وفنون","صعب","تغيير مستوى","متوسط","من مؤلف كتاب إحياء علوم الدين؟","أبو حامد الغزالي"
"H202","أدب وفنون","صعب","تغيير مستوى","متوسط","ما أشهر ملحمة أدبية خلّفتها حضارة بلاد الرافدين؟","ملحمة جلجامش"
"H197","أدب وفنون","صعب","تغيير مستوى","متوسط","من الشاعر العباسي الملقب بشاعر الخمر؟","أبو نواس"
"ADM0232","أكلات","صعب","تغيير مستوى","متوسط","أي مدينة فلسطينية ارتبط اسمها بأصل الكنافة ؟","نابلس"
"ADM0230","أكلات","صعب","تغيير مستوى","متوسط","ما اسم المزيج اللبناني من العدس والأرز والبصل المكرمل؟","المجدرة"
"ADM0239","أكلات","صعب","تغيير مستوى","متوسط","ما اسم السمك المملح المخمّر المرتبط بعيد شم النسيم؟","الفسيخ"
"ADM0278","أكلات","صعب","تغيير مستوى","متوسط","ما الصلصة الأمّ البيضاء في المطبخ الفرنسي المصنوعة من الحليب والرو؟","البشاميل"
"ADM2022","السيرة النبوية","تعجيزي","تغيير مستوى","متوسط","من أوّل من رفع الأذان في الإسلام؟","بلال بن رباح رضي الله عنه"
"ADM2023","السيرة النبوية","تعجيزي","تغيير مستوى","متوسط","ما اسم الدابّة التي رُكبت في رحلة الإسراء؟","البُراق"
"ADM2320","الصحابة والتابعون","صعب","تغيير مستوى","متوسط","من الذي قتل عليّ بن أبي طالب رضي الله عنه؟","عبد الرحمن بن ملجم"
"ADM4404","الصحابة والتابعون","صعب","تغيير مستوى","متوسط","في أيّ مكان بويع أبو بكر الصديق بالخلافة؟","سقيفة بني ساعدة"
"ADM2400","الفقه والعبادات","صعب","تغيير مستوى","متوسط","ما اسم اليوم الثامن من ذي الحجّة الذي يخرج فيه الحجّاج إلى منى؟","يوم التروية"
"ADM2414","الفقه والعبادات","صعب","تغيير مستوى","متوسط","ما اسم العلم الذي يبحث في أحكام الميراث؟","علم الفرائض"
"H044","إسلامي","صعب","تغيير مستوى","متوسط","من أول من جمع القرآن في مصحف واحد؟","أبو بكر الصديق"
"H154","إسلامي","صعب","تغيير مستوى","متوسط","ما اسم العام الذي فقد فيه النبي صلى الله عليه وسلم زوجته خديجة وعمه أبا طالب؟","عام الحزن"
"H358","الكويت","صعب","تغيير مستوى","متوسط","كم عدد أعضاء مجلس الأمة الكويتي المنتخبين؟","خمسون عضواً"
"H086","تقنية ومنوعات","صعب","تغيير مستوى","متوسط","كم بايت في الكيلوبايت الواحد؟","1024 بايت"
"H087","تقنية ومنوعات","صعب","تغيير مستوى","متوسط","ماذا تعني الأحرف CPU؟","وحدة المعالجة المركزية"
"H088","تقنية ومنوعات","صعب","تغيير مستوى","متوسط","ما لغة البرمجة التي تحمل اسم نوع من القهوة؟","جافا"
"H134","تقنية ومنوعات","صعب","تغيير مستوى","متوسط","ماذا يعني اختصار RAM؟","ذاكرة الوصول العشوائي"
"H136","تقنية ومنوعات","صعب","تغيير مستوى","متوسط","من أسّس شركة آبل مع ستيف جوبز؟","ستيف وزنياك"
"ADM1240","تقنية ومنوعات","صعب","تغيير مستوى","متوسط","ما اسم محرّك البحث الذي ساد قبل انتشار غوغل؟","ياهو"
"E017","جغرافيا ومعالم","صعب","تغيير مستوى","متوسط","ما أشهر أنهار الهند؟","نهر الغانج"
"ADM2170","حضارات قديمة","صعب","تغيير مستوى","متوسط","ما اسم النظام السياسيّ الذي نشأ في أثينا وحكم فيه الشعب؟","الديمقراطيّة"
"ADM2728","ديزني وبيكسار","صعب","تغيير مستوى","متوسط","ما اسم الشرير في «الأسد الملك» عمّ سيمبا؟","سكار"
"ADM2734","ديزني وبيكسار","صعب","تغيير مستوى","متوسط","ما اسم الوحش الأخضر الصغير ذي العين الواحدة في «شركة المرعبين»؟","مايك وازوسكي"
"S043","رياضة عامة","صعب","تغيير مستوى","متوسط","من اللاعب الوحيد الذي فاز بكأس العالم ثلاث مرات؟","بيليه"
