التصنيف,المستوى,السؤال,الإجابة,الموضوع
دين وسيرة,تعجيزي,من مؤلّف كتاب «حلية الأولياء وطبقات الأصفياء»؟,أبو نعيم الأصبهاني,الموسوعة ص1014
أدب وفنون,تعجيزي,من مؤلّف كتاب «حياة الحيوان الكبرى»؟,الدميري,الموسوعة ص1015
السيرة النبوية,صعب,من صاحب السيرة الأصلية التي هذّبها ابن هشام فعُرفت باسمه؟,ابن إسحاق,الموسوعة ص1016
أدب وفنون,تعجيزي,من مؤلّف موسوعة «صبح الأعشى في صناعة الإنشا»؟,القلقشندي,الموسوعة ص1016
تاريخ وحضارات,متوسط,من مؤلّف كتاب «البداية والنهاية» في التاريخ؟,ابن كثير,الموسوعة ص1016
الفقه والعبادات,صعب,من مؤلّف كتاب «نيل الأوطار» في فقه الحديث؟,الشوكاني,الموسوعة ص1017
دين وسيرة,صعب,من مؤلّف كتاب «جامع العلوم والحكم» شرح الأربعين النووية؟,ابن رجب الحنبلي,الموسوعة ص1018
تاريخ وحضارات,تعجيزي,من مؤلّف كتاب «فتوح البلدان»؟,البلاذري,الموسوعة ص1019
الصحابة والتابعون,صعب,من أمّ المؤمنين التي قال لها النبي ﷺ: «إنك لابنة نبيّ، وإن عمّك لنبيّ، وإنك لتحت نبيّ»؟,صفية بنت حيي,الموسوعة ص185
الصحابة والتابعون,تعجيزي,من الذي أجار عثمان بن عفان في مكة حين أرسله النبي ﷺ قبل صلح الحديبية؟,أبان بن سعيد بن العاص,الموسوعة ص187
الصحابة والتابعون,متوسط,في أيّ صلاة طُعن عمر بن الخطاب؟,صلاة الفجر,الموسوعة ص188
الصحابة والتابعون,صعب,من الصحابي الذي قال عمر: «لو كان حيّاً لولّيته الخلافة»؟,سالم مولى أبي حذيفة,الموسوعة ص189
السيرة النبوية,متوسط,من المرأة التي مرّ بخيمتها النبي ﷺ وأبو بكر في الهجرة فحلب شاتها الهزيلة؟,أمّ معبد,الموسوعة ص190
الصحابة والتابعون,صعب,من الصحابي الذي ولّاه النبي ﷺ ثم أبو بكر على البحرين؟,العلاء بن الحضرمي,الموسوعة ص191
السيرة النبوية,صعب,كم سنة عاش النبي ﷺ مع خديجة قبل البعثة؟,خمس عشرة سنة,الموسوعة ص191
الصحابة والتابعون,صعب,من أيّ بطون قريش كان عمر بن الخطاب؟,بنو عديّ,الموسوعة ص193
دين وسيرة,متوسط,من «الشيخان» عند علماء الحديث؟,البخاري ومسلم,الموسوعة ص193
الصحابة والتابعون,تعجيزي,ما اسم أمّ هانئ بنت أبي طالب؟,فاختة,الموسوعة ص194
الصحابة والتابعون,صعب,بأيّ علم اشتهر أبو بكر الصديق بين قريش في الجاهلية؟,الأنساب,الموسوعة ص194
الصحابة والتابعون,صعب,أيّ صحابي عُرف بـ«صاحب السواد والسواك» لملازمته النبي ﷺ؟,عبد الله بن مسعود,الموسوعة ص195
الصحابة والتابعون,صعب,في أيّ معركة استُشهد عكرمة بن أبي جهل؟,اليرموك,الموسوعة ص195
الصحابة والتابعون,صعب,من سيّد قريش الذي اشترى صهيباً الرومي في الجاهلية ثم أعتقه؟,عبد الله بن جدعان,الموسوعة ص196
الصحابة والتابعون,تعجيزي,ما الصنم الذي أرسل النبي ﷺ عمرو بن العاص لهدمه بأرض هذيل؟,سُواع,الموسوعة ص196
الصحابة والتابعون,تعجيزي,من الزوج الأوّل لسودة بنت زمعة قبل النبي ﷺ؟,السكران بن عمرو,الموسوعة ص197
الصحابة والتابعون,صعب,من أمّ المؤمنين التي وهبت ليلتها لعائشة؟,سودة بنت زمعة,الموسوعة ص198
الصحابة والتابعون,صعب,أيّ صحابي كنّاه النبي ﷺ «أبا المساكين» لإحسانه إليهم؟,جعفر بن أبي طالب,الموسوعة ص200
الصحابة والتابعون,تعجيزي,في أيّ مدينة دُفن طلحة بن عبيد الله؟,البصرة,الموسوعة ص201
الصحابة والتابعون,صعب,ماذا كان اسم عبد الرحمن بن عوف في الجاهلية؟,عبد الكعبة,الموسوعة ص201
الصحابة والتابعون,تعجيزي,في أيّ مدينة توفي حذيفة بن اليمان؟,المدائن,الموسوعة ص201
السيرة النبوية,تعجيزي,من المشرك الذي قتل مصعب بن عمير في أُحد؟,ابن قميئة,الموسوعة ص201
تاريخ وحضارات,صعب,كم جيشاً جهّز أبو بكر لحرب المرتدّين؟,أحد عشر,الموسوعة ص201
الصحابة والتابعون,تعجيزي,من الصحابي الذي يُقال إنه أوّل من أدخل المصحف إلى مصر؟,عقبة بن عامر,الموسوعة ص202
الصحابة والتابعون,صعب,من الذي قتل الأسود العنسي مدّعي النبوّة في اليمن؟,فيروز الديلمي,الموسوعة ص203
الصحابة والتابعون,صعب,في أيّ مدينة توفي عبد الله بن عباس؟,الطائف,الموسوعة ص203
السيرة النبوية,صعب,من عمّ النبي ﷺ الذي حضر بيعة العقبة الثانية وكان لا يزال على دين قومه؟,العباس,الموسوعة ص204
السيرة النبوية,متوسط,عند أيّ جبل جمع النبي ﷺ قريشاً ليجهر بالدعوة؟,الصفا,الموسوعة ص204
السيرة النبوية,صعب,كم كان عمر النبي ﷺ حين حكّمته قريش في وضع الحجر الأسود؟,خمساً وثلاثين سنة,الموسوعة ص204
السيرة النبوية,تعجيزي,ما اسم البعث الذي غُدر فيه بالصحابة وأُسر فيه خبيب بن عديّ؟,الرجيع,الموسوعة ص204
الصحابة والتابعون,صعب,من زوجة عثمان بن عفان التي قُطعت أصابعها وهي تدافع عنه يوم مقتله؟,نائلة بنت الفرافصة,الموسوعة ص205
الصحابة والتابعون,صعب,أيّ صحابي قال فيه النبي ﷺ: «لو أقسم على الله لأبرّه»؟,البراء بن مالك,الموسوعة ص208
الصحابة والتابعون,تعجيزي,من الصحابي الذي سمع النبي ﷺ قراءته في الجنة لبرّه بأمّه؟,حارثة بن النعمان,الموسوعة ص208
السيرة النبوية,متوسط,ما الاسم الحقيقي لأبي لهب؟,عبد العزّى,الموسوعة ص209
الصحابة والتابعون,تعجيزي,من الصحابي الفقير الذي زوّجه النبي ﷺ وقال عنه يوم استشهاده: «هذا مني وأنا منه»؟,جُليبيب,الموسوعة ص209
الصحابة والتابعون,متوسط,لمن دعا النبي ﷺ بقوله: «اللهم علّمه التأويل»؟,عبد الله بن عباس,الموسوعة ص210
الصحابة والتابعون,صعب,من الصحابي الذي نزلت الملائكة تستمع إلى قراءته ليلاً؟,أسيد بن حضير,الموسوعة ص210
السيرة النبوية,تعجيزي,ما اسم البئر التي أُلقي فيها قتلى المشركين في بدر؟,القليب,الموسوعة ص212
الصحابة والتابعون,تعجيزي,ما اسم أمّ المؤمنين أمّ سلمة؟,هند بنت أبي أمية,الموسوعة ص212
تاريخ وحضارات,صعب,من المرأة التي ادّعت النبوّة في حروب الردّة وتزوّجها مسيلمة؟,سجاح,الموسوعة ص212
الصحابة والتابعون,تعجيزي,من القائد الذي فتح الجزيرة الفراتية والرها في عهد عمر؟,عياض بن غنم,الموسوعة ص213
السيرة النبوية,صعب,ما الغزوة التي خرج فيها المسلمون في أثر قريش غداة أحد؟,حمراء الأسد,الموسوعة ص213
تاريخ وحضارات,صعب,من مؤسّس دولة السلاجقة؟,طغرل بك,الموسوعة ص213
الصحابة والتابعون,صعب,من أخو عمر الفاروق الذي أسلم قبله واستُشهد في اليمامة؟,زيد بن الخطاب,الموسوعة ص217
الصحابة والتابعون,صعب,من الصحابي الأعرج الذي أصرّ على الخروج إلى أُحد وقال «لأطأنّ بعرجتي الجنة»؟,عمرو بن الجموح,الموسوعة ص217
الصحابة والتابعون,تعجيزي,من الذي كانت قريش تسمّيه «شيطان قريش» ثم أسلم بعد أن جاء ليقتل النبي ﷺ؟,عمير بن وهب,الموسوعة ص218
السيرة النبوية,صعب,من مبعوث قريش الذي فاوض النبي ﷺ في صلح الحديبية؟,سهيل بن عمرو,الموسوعة ص219
الصحابة والتابعون,تعجيزي,من الذي اشترى زيد بن حارثة في سوق عكاظ ثم وهبه لخديجة؟,حكيم بن حزام,الموسوعة ص220
السيرة النبوية,صعب,بكم من الإبل فدى عبد المطلب ابنه عبد الله من النذر؟,مئة,الموسوعة ص222
السيرة النبوية,متوسط,من صاحب قول «للبيت ربّ يحميه» لأبرهة؟,عبد المطلب,الموسوعة ص222
الصحابة والتابعون,تعجيزي,كيف قُتل اليمان والد حذيفة في غزوة أحد؟,قتله المسلمون خطأً,الموسوعة ص223
السيرة النبوية,صعب,من المشرك الذي بارزه حمزة وقتله في مطلع غزوة بدر؟,شيبة بن ربيعة,الموسوعة ص223
الصحابة والتابعون,تعجيزي,من القائد الفارسي الذي قتله خالد بن الوليد مبارزةً في ذات السلاسل؟,هرمز,الموسوعة ص223
الصحابة والتابعون,صعب,ماذا كان أبو دجانة يعصب به رأسه في القتال فيُعرف أنه سيقاتل حتى الموت؟,عصابة حمراء,الموسوعة ص224
الصحابة والتابعون,صعب,من الصحابي الأنصاري الذي رمى تمراته وقاتل حتى استُشهد في بدر لمّا سمع بالجنة؟,عمير بن الحمام,الموسوعة ص225
السيرة النبوية,صعب,من قائد هوازن في غزوة حنين الذي أسلم بعدها فردّ النبي ﷺ عليه أهله وماله؟,مالك بن عوف,الموسوعة ص227
السيرة النبوية,تعجيزي,في أيّ وادٍ تجمّعت هوازن قبل غزوة حنين؟,أوطاس,الموسوعة ص228
الصحابة والتابعون,صعب,من الشاعر الذي حبسه عمر بن الخطاب بسبب هجائه للزبرقان بن بدر؟,الحطيئة,الموسوعة ص231
الصحابة والتابعون,تعجيزي,من الشابّ الذي نفاه عمر بن الخطاب من المدينة لأنّ النساء افتُتنّ بجماله؟,نصر بن حجّاج,الموسوعة ص234
الصحابة والتابعون,صعب,من الصحابي الذي اتُّهم ظلماً في حادثة الإفك ثم برّأه القرآن؟,صفوان بن المعطّل,الموسوعة ص239
الصحابة والتابعون,تعجيزي,من الصحابي الذي قال له النبي ﷺ: «إن فيك خصلتين يحبّهما الله: الحلم والأناة»؟,أشجّ عبد القيس,الموسوعة ص241
الصحابة والتابعون,صعب,من الصحابي الذي غاب عن بدر فقاتل في أُحد حتى وُجد فيه بضع وثمانون ضربة؟,أنس بن النضر,الموسوعة ص242
الصحابة والتابعون,صعب,من أمّ عليّ بن أبي طالب التي كفلت النبي ﷺ في بيت أبي طالب؟,فاطمة بنت أسد,الموسوعة ص244
علوم واختراعات,متوسط,أيّ معدن يُلقّب بـ«الذهب الأبيض»؟,البلاتين,الموسوعة ص670
الصحابة والتابعون,صعب,من الصحابية التي علّمت حفصة الكتابة ووُصفت بأنها أوّل معلّمة في الإسلام؟,الشفاء بنت عبد الله,الموسوعة ص671
تاريخ وحضارات,صعب,في عهد أيّ حاكم لمصر بدأ حفر قناة السويس سنة 1859؟,الخديوي سعيد,الموسوعة ص673
تاريخ وحضارات,صعب,نسبةً إلى من سُمّي شهر أغسطس؟,أغسطس قيصر,الموسوعة ص673
جغرافيا ومعالم,تعجيزي,ما الاسم الذي أطلقه جيمس كوك على جزر هاواي؟,جزر ساندويتش,الموسوعة ص675
تاريخ وحضارات,تعجيزي,من العالم النحوي الذي أدّب هارون الرشيد وعلّم أولاده الأمين والمأمون؟,الكسائي,الموسوعة ص677
تاريخ وحضارات,متوسط,في أيّ جزيرة إيطالية نشأت عصابات المافيا؟,صقلية,الموسوعة ص681
تاريخ وحضارات,صعب,ما لون رايات الدولة الأموية؟,الأبيض,الموسوعة ص684
أدب وفنون,تعجيزي,ما أوّل ديوان صدر لنزار قباني سنة 1944؟,قالت لي السمراء,الموسوعة ص686
حضارات قديمة,صعب,ماذا كان المصريون القدماء يسمّون إله النيل وفيضانه؟,حابي,الموسوعة ص688
تقنية ومنوعات,صعب,ما الحيوان الذي يتخذه الحزب الجمهوري الأمريكي شعاراً له؟,الفيل,الموسوعة ص689
سينما ودراما,متوسط,من الممثل الكوميدي الذي اشتهر بأفلام السينما الصامتة وشخصية «الصعلوك»؟,شارلي شابلن,الموسوعة ص690
أدب وفنون,صعب,من مؤلّف كتاب «حوار مع صديقي الملحد»؟,مصطفى محمود,الموسوعة ص691
تاريخ وحضارات,متوسط,ما شعار الثورة الفرنسية المكوّن من ثلاث كلمات؟,الحرية والإخاء والمساواة,الموسوعة ص691
أدب وفنون,تعجيزي,ما الاسم الحقيقي للشاعر الأموي الأخطل؟,غياث بن غوث التغلبي,الموسوعة ص692
تاريخ وحضارات,صعب,ما آخر دولة انضمّت إلى جامعة الدول العربية سنة 1993؟,جزر القمر,الموسوعة ص693
تقنية ومنوعات,متوسط,ماذا يُسمّى البرلمان الروسي؟,الدوما,الموسوعة ص695
أدب وفنون,متوسط,من الفيلسوف الفرنسي صاحب مقولة «أنا أفكّر إذن أنا موجود»؟,ديكارت,الموسوعة ص697
تاريخ وحضارات,متوسط,من الأمريكية الصمّاء الكفيفة التي صارت كاتبة وناشطة وحصلت على شهادة جامعية؟,هيلين كيلر,الموسوعة ص697
علوم واختراعات,صعب,ما الاسم العربي لمعدن الكوارتز؟,المَرْو,الموسوعة ص697
أدب وفنون,صعب,من أشهر كاتب مسرحي سوري وصاحب «الفيل يا ملك الزمان»؟,سعد الله ونّوس,الموسوعة ص697
جغرافيا ومعالم,صعب,ما الإمارة الوحيدة التي تشترك في الحدود مع كلّ إمارات الدولة؟,الشارقة,الموسوعة ص698
تاريخ وحضارات,صعب,ما آخر فرع أُضيف إلى جوائز نوبل سنة 1969؟,الاقتصاد,الموسوعة ص698
علوم واختراعات,متوسط,أيّ دولتين صنعتا معاً طائرة الكونكورد الأسرع من الصوت؟,بريطانيا وفرنسا,الموسوعة ص699
تاريخ وحضارات,متوسط,ماذا سُمّي الطيّارون الانتحاريون اليابانيون في الحرب العالمية الثانية؟,كاميكازي,الموسوعة ص699
أدب وفنون,صعب,ما اسم كتاب الغزالي الذي هاجم فيه الفلاسفة؟,تهافت الفلاسفة,الموسوعة ص702
جغرافيا ومعالم,صعب,ماذا يعني اسم «أستراليا» باللاتينية؟,الأرض الجنوبية,الموسوعة ص703
الفقه والعبادات,متوسط,ماذا تُسمّى الأشهر الأربعة: ذو القعدة وذو الحجة والمحرّم ورجب؟,الأشهر الحُرُم,الموسوعة ص703
جغرافيا ومعالم,متوسط,أيّ مدينة عربية تُلقّب بـ«الشهباء»؟,حلب,الموسوعة ص704
تاريخ وحضارات,صعب,ما أوّل دولة عربية أُعلنت جمهورية سنة 1926؟,لبنان,الموسوعة ص704
تقنية ومنوعات,متوسط,ماذا يُسمّى مبنى وزارة الدفاع الأمريكية الخماسي الشكل؟,البنتاغون,الموسوعة ص705
تاريخ وحضارات,متوسط,في أيّ عام وقعت كارثة مفاعل تشرنوبل النووي؟,1986,الموسوعة ص705
تاريخ وحضارات,صعب,متى وقعت أزمة الصواريخ الكوبية بين أمريكا والاتحاد السوفيتي؟,1962,الموسوعة ص706
علوم واختراعات,صعب,ما أكثر المعادن وفرةً في القشرة الأرضية؟,الألومنيوم,الموسوعة ص706
دين وسيرة,صعب,من الفقيه الذي قال عنه الشافعي إنه أفقه من مالك لكن ضيّعه أصحابه؟,الليث بن سعد,الموسوعة ص707
الصحابة والتابعون,صعب,ما اسم أبي سفيان بن حرب؟,صخر,الموسوعة ص707
دين وسيرة,صعب,من الإمام الذي تتلمذ عليه أبو حنيفة ومالك ويُعدّ سادس أئمة الشيعة؟,جعفر الصادق,الموسوعة ص709
تاريخ وحضارات,صعب,من أيّ جنسية الحرس البابوي في الفاتيكان؟,سويسرية,الموسوعة ص709
علوم واختراعات,تعجيزي,من العالم الأندلسي مؤلّف «الجامع لمفردات الأدوية والأغذية»؟,ابن البيطار,الموسوعة ص710
أدب وفنون,تعجيزي,ماذا كان أحمد شوقي يسمّي منزله في الجيزة؟,كرمة ابن هانئ,الموسوعة ص712
تاريخ وحضارات,متوسط,ماذا كانت تُسمّى فرقة المشاة النخبة في الجيش العثماني؟,الإنكشارية,الموسوعة ص712
تاريخ وحضارات,صعب,من الضابط الذي أذاع بيان ثورة 23 يوليو 1952 في مصر؟,أنور السادات,الموسوعة ص712
جغرافيا ومعالم,متوسط,في أيّ بلدة سويسرية يُعقد المنتدى الاقتصادي العالمي سنوياً؟,دافوس,الموسوعة ص713
لغة عربية,تعجيزي,ما معنى «الدَّرّ» في قولهم «لله درّك»؟,اللبن,الموسوعة ص714
تقنية ومنوعات,متوسط,ماذا يُقصد بـ«السلطة الرابعة»؟,الصحافة,الموسوعة ص714
تاريخ وحضارات,صعب,ما اللقب العربي لقائد الأسطول الذي اشتُقّت منه كلمة «Admiral» في اللغات الأوروبية؟,أمير البحر,الموسوعة ص715
تاريخ وحضارات,صعب,ما المهنة التي درسها غاندي في لندن ومارسها في جنوب أفريقيا؟,المحاماة,الموسوعة ص715
تاريخ وحضارات,متوسط,في أيّ دولة وقعت «حرب الأفيون» ضد بريطانيا في القرن التاسع عشر؟,الصين,الموسوعة ص715
أدب وفنون,صعب,ما «المحبسان» في لقب أبي العلاء المعري «رهين المحبسين»؟,العمى ولزوم البيت,الموسوعة ص718
تقنية ومنوعات,متوسط,ما اسم جهاز كشف الكذب؟,البوليغراف,الموسوعة ص718
جغرافيا ومعالم,سهل,ما الاسم العربي لمدينة «كازابلانكا»؟,الدار البيضاء,الموسوعة ص718
جغرافيا ومعالم,متوسط,ما اسم الشعب الملثّم الذي يعيش في الصحراء الكبرى؟,الطوارق,الموسوعة ص719
تقنية ومنوعات,صعب,ما لون الحداد في الصين والثقافات الشرقية التقليدية؟,الأبيض,الموسوعة ص720
معالم,صعب,في أيّ مدينة عراقية تقع المئذنة الملويّة؟,سامرّاء,الموسوعة ص720
جغرافيا ومعالم,متوسط,ما أكبر دولة في العالم إنتاجاً للنحاس؟,تشيلي,الموسوعة ص724
السيرة النبوية,صعب,ما اسم البئر التي سقط فيها خاتم النبي ﷺ من يد عثمان؟,بئر أريس,الموسوعة ص725
السيرة النبوية,صعب,ما الجبل الذي جعله المسلمون خلف ظهورهم يوم الخندق؟,سَلْع,الموسوعة ص725
السيرة النبوية,صعب,من الجدّ الخامس للنبي ﷺ الذي جمع قريشاً في مكة؟,قصيّ بن كلاب,الموسوعة ص726
القرآن الكريم,متوسط,بأيّ وصف ذكر القرآن أمّ جميل زوجة أبي لهب؟,حمّالة الحطب,الموسوعة ص729
دين وسيرة,متوسط,بأيّ لقب اشتهر أبو حامد الغزالي؟,حجّة الإسلام,الموسوعة ص729
دين وسيرة,صعب,طبقات الجنة «درجات»، فماذا تُسمّى طبقات النار؟,دركات,الموسوعة ص730
الصحابة والتابعون,صعب,إلى أيّ قبيلة يمنية ينتمي أبو هريرة؟,دوس,الموسوعة ص730
القرآن الكريم,تعجيزي,بأيّ وصف ذُكر جبريل في سورة النجم غير «شديد القوى»؟,ذو مِرّة,الموسوعة ص730
جغرافيا ومعالم,صعب,ما اسم الطائفة الدينية القديمة التي تعيش قرب نابلس وتقدّس جبل جرزيم؟,السامريون,الموسوعة ص733
أدب وفنون,متوسط,ماذا تعني كلمة «فلسفة» في أصلها اليوناني؟,محبّة الحكمة,الموسوعة ص734
أحياء وفلك,صعب,من أيّ حيوان يُستخرج المسك الطبيعي؟,غزال المسك,الموسوعة ص735
أحياء وفلك,متوسط,من أيّ شجرة يُؤخذ السواك؟,الأراك,الموسوعة ص737
دين وسيرة,تعجيزي,ما اسم الشيطان الذي يوسوس للمصلّي في صلاته كما في الحديث؟,خِنزب,الموسوعة ص739
لغة عربية,تعجيزي,ماذا يقصد العرب بـ«خضراء الدِّمَن»؟,المرأة الحسناء في المنبت السوء,الموسوعة ص739
السيرة النبوية,صعب,ما الظاهرة الفلكية التي وقعت يوم وفاة إبراهيم ابن النبي ﷺ فقال: لا تنكسف لموت أحد؟,كسوف الشمس,الموسوعة ص740
الصحابة والتابعون,صعب,في أيّ مكان بويع أبو بكر الصديق بالخلافة؟,سقيفة بني ساعدة,الموسوعة ص745
تقنية ومنوعات,متوسط,ما الرمز العالمي لمهنة الصيدلة؟,الكأس والأفعى,الموسوعة ص748
سينما ودراما,متوسط,أيّ فنّ يُلقّب بـ«الفن السابع»؟,السينما,الموسوعة ص749
لغة عربية,متوسط,ما اسم لغة البربر في شمال أفريقيا؟,الأمازيغية,الموسوعة ص749
لغة عربية,صعب,ما اللغة الأوروبية الأكثر تأثّراً بالعربية حتى إنّ أكثر مفرداتها عربية الأصل؟,المالطية,الموسوعة ص750
تاريخ وحضارات,صعب,من الزعيم البلشفي الذي أسّس الجيش الأحمر واغتيل في المكسيك؟,تروتسكي,الموسوعة ص750
معالم,متوسط,في أيّ مدينة يقع متحف الشمع الأشهر الذي أسّسته مدام توسو؟,لندن,الموسوعة ص750
علوم واختراعات,صعب,كم متراً يبلغ الميل البحري؟,1852,الموسوعة ص750
علوم واختراعات,صعب,من العالم الباكستاني الذي فاز بجائزة نوبل في الفيزياء سنة 1979؟,محمد عبد السلام,الموسوعة ص751
أحياء وفلك,صعب,ماذا تعني كلمة «ديناصور» في أصلها اليوناني؟,السحلية المرعبة,الموسوعة ص753
تاريخ وحضارات,صعب,في أيّ مدينة دُفن كارل ماركس؟,لندن,الموسوعة ص753
سينما ودراما,صعب,ما اسم أوّل فيلم مصري روائي طويل عُرض سنة 1927؟,ليلى,الموسوعة ص756
الكويت,تعجيزي,ما اسم أوّل ناقلة نفط كويتية؟,كاظمة,الموسوعة ص756
جغرافيا ومعالم,صعب,أيّ جزيرة اشتُقّ اسمها من كلمة «النحاس» اللاتينية؟,قبرص,الموسوعة ص757
تقنية ومنوعات,سهل,ما اسم الجزء من مئة من الريال السعودي؟,الهللة,الموسوعة ص758
الصحابة والتابعون,سهل,في أيّ مدينة عراقية استُشهد الحسين بن علي؟,كربلاء,الموسوعة ص763
تقنية ومنوعات,متوسط,ما الرتبة العسكرية التي يحملها الضابط ذو النجوم الثلاث في الجيوش العربية؟,نقيب,الموسوعة ص763
الفقه والعبادات,صعب,أيّ شهر هجري كانت العرب تسمّيه «الأصمّ» لأنّهم لا يسمعون فيه صوت السلاح؟,رجب,الموسوعة ص765
تاريخ وحضارات,متوسط,ما اسم دار العلم والترجمة التي ازدهرت في بغداد في عهد المأمون؟,بيت الحكمة,الموسوعة ص768
تاريخ وحضارات,صعب,من الملك الفرنسي الملقّب بـ«الملك الشمس» وصاحب أطول حكم في أوروبا؟,لويس الرابع عشر,الموسوعة ص777
حضارات قديمة,صعب,ما المدينة اللبنانية التي تُعدّ من أقدم المدن المأهولة في العالم ومنها اشتُقّت كلمة «Bible»؟,جبيل,الموسوعة ص778
تقنية ومنوعات,صعب,ماذا يُسمّى البرلمان الاتحادي الألماني؟,البوندستاغ,الموسوعة ص780
تاريخ وحضارات,صعب,ماذا كان يُسمّى جهاز الأمن السرّي في ألمانيا الشرقية؟,شتازي,الموسوعة ص780
تاريخ وحضارات,متوسط,من الجاسوس الإسرائيلي الذي كشفته سوريا وأُعدم في دمشق سنة 1965؟,إيلي كوهين,الموسوعة ص784
علوم واختراعات,صعب,ما اسم الوحدة التي تقيس سرعة الطائرة نسبةً إلى سرعة الصوت؟,ماخ,الموسوعة ص789
الفقه والعبادات,متوسط,من الذين وصفهم النبي ﷺ بأنهم «أطول الناس أعناقاً يوم القيامة»؟,المؤذّنون,الموسوعة ص307
الفقه والعبادات,صعب,ما الصلاة الوحيدة التي يجوز الأذان لها قبل دخول وقتها؟,الفجر,الموسوعة ص307
الفقه والعبادات,تعجيزي,من «الشيخان» عند فقهاء الشافعية؟,النووي والرافعي,الموسوعة ص314
