التصنيف,المستوى,السؤال,الإجابة,الموضوع
من القائل؟,تعجيزي,من قائل: «حكمُ المنيّةِ في البريّةِ جارِ * ما هذه الدنيا بدارِ قرارِ»؟,أبو الحسن التهامي,تكملة الخليّة
من القائل؟,تعجيزي,من ناظم الموشّح: «يا ليلُ الصبُّ متى غدُهُ * أقيامُ الساعةِ موعدُهُ»؟,الحصري القيرواني,تكملة الخليّة
من القائل؟,تعجيزي,من ناظم النشيد: «بلادُ العُربِ أوطاني * من الشامِ لبغدانِ»؟,فخري البارودي,تكملة الخليّة
من القائل؟,تعجيزي,من الشاعر القائل: «ألا كلُّ شيءٍ ما خلا اللهَ باطلُ» وقال عنه النبي ﷺ إنها أصدق كلمة قالها شاعر؟,لبيد بن ربيعة,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «أرى خللَ الرمادِ وميضَ نارٍ * ويوشكُ أن يكونَ لها ضرامُ»؟,نصر بن سيّار,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «لا تنهَ عن خُلُقٍ وتأتيَ مثلَه * عارٌ عليك إذا فعلتَ عظيمُ»؟,أبو الأسود الدؤلي,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «قد يُدركُ المتأنّي بعضَ حاجتِه * وقد يكونُ مع المستعجلِ الزللُ»؟,القُطامي,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «أضاعوني وأيَّ فتىً أضاعوا * ليومِ كريهةٍ وسِدادِ ثغرِ»؟,العَرجي,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «ألا ليتَ الشبابَ يعودُ يوماً * فأُخبرَه بما فعلَ المشيبُ»؟,أبو العتاهية,تكملة الخليّة
من القائل؟,تعجيزي,من الطبيب اليوناني صاحب القول: «الحياةُ قصيرةٌ والفنُّ طويلٌ»؟,أبقراط,تكملة الخليّة
من القائل؟,تعجيزي,من الفيلسوف اليوناني القائل: «لا يمكنك أن تنزل النهرَ نفسَه مرّتين»؟,هيراقليطس,تكملة الخليّة
من القائل؟,تعجيزي,من كتب كلمات نشيد «بلادي بلادي لكِ حبّي وفؤادي»؟,يونس القاضي,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «الجودُ بالنفسِ أقصى غايةِ الجودِ»؟,مسلم بن الوليد,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «ولي وطنٌ آليتُ ألّا أبيعَه * وألّا أرى غيري له الدهرَ مالكا»؟,ابن الرومي,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «إذا لم تستطعْ شيئاً فدعْهُ * وجاوزْهُ إلى ما تستطيعُ»؟,عمرو بن معديكرب,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «الشعرُ صعبٌ وطويلٌ سُلَّمُه * إذا ارتقى فيه الذي لا يعلمُه»؟,الحطيئة,تكملة الخليّة
من القائل؟,تعجيزي,من قائل: «إنّ العيونَ التي في طرفِها حَوَرٌ * قتلننا ثمّ لم يُحيينَ قتلانا»؟,جرير,تكملة الخليّة
من القائل؟,تعجيزي,من صاحب العبارة: «الإنسانُ مدنيٌّ بالطبع» في مقدّمته؟,ابن خلدون,تكملة الخليّة
