id,category,action,note,question,answer,new_question,new_answer
"ADM2583","ألعاب فيديو","حجب","رقم (2.5 مليار)","بكم اشترت مايكروسوفت «موجانغ» صانعة ماينكرافت عام 2014؟","2.5 مليار دولار","",""
"ADM3160","ألعاب فيديو","حجب","سنة (1991)","في أيّ سنةٍ صدرت أوّل لعبة سونيك على ميغا درايف؟","1991","",""
"ADM3163","ألعاب فيديو","حجب","أويماتسو مستحيل","من ملحّن موسيقى «فاينل فانتسي» الأشهر؟","نوبو أويماتسو","",""
"ADM3165","ألعاب فيديو","حجب","سنة (1994)","أطلقت سوني أوّل بلايستيشن في اليابان في ديسمبر من أيّ سنة؟","1994","",""
"ADM3167","ألعاب فيديو","حجب","برزيبيلوفيتش مستحيل","ما اسم الملحّن الذي وضع موسيقى «سايبربانك 2077» و«ذا ويتشر 3»؟","مارتشين برزيبيلوفيتش","",""
"ADM3168","ألعاب فيديو","حجب","ممثّلة صوت مستحيلة","من الممثّلة التي جسّدت «إيلي» في لعبة «ذا لاست أوف أس»؟","آشلي جونسون","",""
"ADM3169","ألعاب فيديو","حجب","كوري بارلوغ مستحيل","من مصمّم «غاد أوف وور» 2018 الذي قاد إعادة إحياء السلسلة؟","كوري بارلوغ","",""
"ADM3171","ألعاب فيديو","حجب","ذا تتريس كومباني مستحيل","ما اسم الشركة الهولنديّة الروسيّة التي تملك حقوق تتريس ورئيسها هينك روجرز؟","ذا تتريس كومباني","",""
"ADM3172","ألعاب فيديو","حجب","كازونوري ياماوتشي مستحيل","ما اسم مصمّم «غران توريزمو» الذي كان سائق سباقاتٍ حقيقيّاً؟","كازونوري ياماوتشي","",""
"ADM3176","ألعاب فيديو","حجب","مناكا كاتاوكا مستحيل","ما اسم مؤلّف موسيقى «زيلدا: بريث أوف ذا وايلد» و«تيرز أوف ذا كينغدوم»؟","مناكا كاتاوكا","",""
"ADM3178","ألعاب فيديو","حجب","جيم رايان مستحيل","ما اسم رئيس بلايستيشن الذي أطلق بلايستيشن 5 ثمّ تقاعد سنة 2024؟","جيم رايان","",""
"ADM1363","أمثال وألغاز","حجب","رقم (8 قطع)","كم قطعةً في أحجية «برج هانوي» الأصليّة؟","ثماني","",""
"ADM2775","أمثال وألغاز","حجب","الاسم الحقيقيّ لهبنّقة مستحيل","ما الاسم الحقيقيّ لـ«هبنّقة» الذي يُضرب به المثل في الحمق؟","يزيد بن ثروان","",""
"ADM3095","أنمي","حجب","سنة (2000)","في أيّ سنةٍ انطلق بثّ قناة سبيستون؟","2000","",""
"ADM4370","الصحابة والتابعون","حجب","الزوج الأوّل لسودة مستحيل","من الزوج الأوّل لسودة بنت زمعة قبل النبي ﷺ؟","السكران بن عمرو","",""
"ADM4423","الصحابة والتابعون","حجب","مولاة خبّاب مستحيلة","من مولاة الصحابي خبّاب بن الأرتّ التي كانت تعذّبه في مكة؟","أمّ أنمار","",""
"ADM1390","الكويت","حجب","الشركة السويديّة مستحيلة","أبراج الكويت نفّذتها شركةٌ سويديّة — ما اسمها؟","في بي بي","",""
"ADM5998","بريزون بريك","قرينة","دور «ذا ووكينغ ديد» طريق","من الممثّلة التي أدّت سارة تانكريدي؟","سارة واين كاليس","من الممثّلة التي أدّت طبيبة فوكس ريفر، ثمّ أدّت «لوري» زوجة ريك في «ذا ووكينغ ديد»؟",""
"ADM5999","بريزون بريك","قرينة","دور «ترانسفورمرز» طريق","من الممثّل الذي أدّى سوكري؟","أموري نولاسكو","من الممثّل البورتوريكيّ الذي أدّى سوكري، وظهر جنديّاً في «ترانسفورمرز»؟",""
"ADM6000","بريزون بريك","تبديل","ممثّل بلا طريق","من الممثّل الذي أدّى براد بيليك؟","وايد ويليامز","بأيّ مهنةٍ عمل بيليك بعد فصله من فوكس ريفر ليطارد الهاربين؟","صائد جوائز"
"ADM6001","بريزون بريك","تبديل","ممثّلة بلا طريق","من الممثّلة التي أدّت غريتشن؟","جودي لين أوكيف","كم بطاقةً إلكترونيّة كان يلزم جمعها لتكوين «سيلا» في الموسم الرابع؟","ستّ"
"ADM6002","بريزون بريك","تبديل","زوجة ماهون مستحيلة","ما اسم زوجة ماهون؟","بام","ما اسم العميل الذي أجبر ماهون على قتل الهاربين ثمّ قتله كيلرمان؟","بيل كيم"
"ADM6003","بريزون بريك","تبديل","اسم زوجة لينكولن مستحيل","ما اسم زوجة لينكولن الراحلة والدة إل جاي؟","ليزا ريكس","بأيّ وسيلةٍ كان لينكولن سيُعدم في فوكس ريفر؟","الكرسي الكهربائيّ"
"ADM6004","بريزون بريك","تبديل","رقم (22 حلقة)","كم حلقةً في الموسم الأوّل؟","22","كم كان الحكم الذي صدر على مايكل بعد سطوه على البنك؟","خمس سنوات"
"ADM6009","بريزون بريك","تبديل","زوجة سي نوت مستحيلة","ما اسم زوجة سي نوت؟","كاسي","في أيّ حربٍ خدم سي نوت جنديّاً قبل دخوله السجن؟","العراق"
"ADM6011","بريزون بريك","تبديل","ممثّل بلا طريق","من الممثّل الذي أدّى الجنرال كرانتز؟","ليون راسوم","ما اسم الشركة التي عمل فيها تي باغ باسم «كول فايفر» في الموسم الرابع؟","غيت (GATE)"
"ADM6094","بريزون بريك","تبديل","زوجة أبروزي مستحيلة","ما اسم زوجة جون أبروزي؟","سيلفيا","كم سجيناً هربوا من فوكس ريفر في نهاية الموسم الأوّل؟","ثمانية"
"ADM6073","بريكنغ باد","تبديل","ممثّل بلا طريق","من الممثّل الذي أدّى والتر جونيور؟","آر جيه ميتي","ما الاسم الذي أراد والتر جونيور أن يُنادى به بدل اسم أبيه؟","فلين"
"ADM6077","بريكنغ باد","تبديل","ممثّلة بلا طريق","من الممثّلة التي أدّت سكايلر؟","آنا غان","ما اسم رئيس سكايلر في العمل الذي تهرّب من الضرائب وارتبطت به؟","تيد بينيكي"
"ADM6078","بريكنغ باد","تبديل","ممثّل بلا طريق","من الممثّل الذي أدّى هانك شرايدر؟","دين نوريس","ما الذي كان هانك يجمعه في فترة نقاهته مصرّاً أنّها ليست «صخوراً»؟","المعادن"
"ADM6086","بريكنغ باد","تبديل","رقم (62 حلقة)","ما عدد الحلقات الكامل للمسلسل؟","62","في أيّ سنةٍ عُرضت الحلقة الأولى من المسلسل؟","2008"
"ADM5919","ديكستر","تبديل","ممثّل بلا طريق","من الممثّل الذي أدّى ديكستر الشابّ في «أوريجينال سين»؟","باتريك غيبسون","ما اسم الخطيب التحفيزيّ الذي كان يقود عصابة الاغتصاب التي طاردها ديكستر مع لومن؟","جوردان تشيس"
"ADM5923","ديكستر","تبديل","ممثّل بلا طريق","من الممثّل الذي أدّى فرانك لاندي؟","كيث كارادين","من قتلت العميل فرانك لاندي؟","كريستين هيل (حبيبة كوين)"
"ADM5924","ديكستر","تبديل","ممثّل بلا طريق","ما اسم الممثّل الذي أدّى ميغيل برادو؟","جيمي سميتس","ما اسم المحامية التي قتلها ميغيل برادو فانقلب عليه ديكستر؟","إيلين وولف"
"ADM5926","ديكستر","تبديل","رقم (96 حلقة)","ما عدد حلقات المسلسل الأصلي؟","96","كم سنةً مرّت في القصّة بين نهاية الموسم الثامن وأحداث «نيو بلود»؟","عشر سنوات"
"ADM5929","ديكستر","تبديل","ممثّلة بلا طريق","من الممثّلة التي أدّت هانا مكاي؟","إيفون ستراهوفسكي","ما اسم كاتب الجرائم الحقيقيّة الذي حقّق في ماضي هانا مكاي فسُمّم؟","سال برايس"
"ADM5930","ديكستر","تبديل","ممثّلة بلا طريق","من الممثّلة التي أدّت لومن؟","جوليا ستايلز","كم رجلاً اعتدوا على لومن وسعت للانتقام منهم مع ديكستر؟","خمسة"
"ADM5931","ديكستر","تبديل","ممثّلة بلا طريق","من الممثّلة التي أدّت لاغويرتا؟","لورين فيليز","من أيّ بلدٍ تنحدر الملازم لاغويرتا؟","كوبا"
"ADM5932","ديكستر","تبديل","مبتكر المسلسل مستحيل","من ابتكر المسلسل للتلفزيون؟","جيمس مانوس جونيور","إلى أيّ مدينةٍ انتقل أستور وكودي ليعيشا مع جدّيهما بعد موت ريتا؟","أورلاندو"
"ADM5925","ديكستر","تبديل","عنوان حلقة مستحيل","ما اسم الحلقة الأخيرة من الموسم الثامن؟","تذكّرني بالوحوش","من أوّل ضحيّةٍ قتلها ديكستر بحسب «قانون هاري»؟","الممرّضة ماري"
"ADM1409","تاريخ وحضارات","حجب","رقم (282 مادّة)","كم مادّةً تضمّنت شريعة حمورابي؟","282","",""
"ADM1417","تاريخ وحضارات","حجب","رقم (53 يوماً)","كم يوماً دام حصار القسطنطينية سنة 1453؟","ثلاثة وخمسون","",""
"ADM5278","تاريخ وحضارات","حجب","راجندرا براساد مستحيل","من أوّل رئيس لجمهورية الهند بعد الاستقلال؟","راجندرا براساد","",""
"ADM1611","تقنية ومنوعات","حجب","رقم (15 رقماً)","كم رقماً في رمز الآيمي الخاصّ بكلّ هاتف؟","خمسة عشر","",""
"ADM1326","جغرافيا ومعالم","حجب","رقم (21 دولة)","الدول التي لا جيش لها في العالم — كم عددها تقريباً؟","إحدى وعشرون","",""
"ADM1695","جغرافيا ومعالم","حجب","رقم (16 دولة)","كم دولةً أفريقيّة لا سواحل لها؟","ستّ عشرة","",""
"ADM3903","حروف","حجب","مخترع الباركود مستحيل","من مخترع الباركود؟","وودلاند","",""
"ADM1857","دوري أبطال أوروبا","تبديل","مصمّم الكأس مستحيل","ما اسم المصمّم السويسريّ الذي وضع الكأس الحاليّة سنة 1967؟","يورغ شتادلمان","من الهدّاف التاريخيّ للمسابقة قبل أن يتجاوزه رونالدو وميسي؟","راؤول غونزاليس"
"ADM1858","دوري أبطال أوروبا","تبديل","رقم (177 مباراة)","كم مباراةً خاضها إيكر كاسياس في المسابقة وهو رقمٌ قياسيّ للحرّاس؟","مئة وسبع وسبعون مباراة","من اللاعب الوحيد الذي رفع الكأس مع ثلاثة أنديةٍ مختلفة؟","كلارنس سيدورف"
"ADM1869","دوري أبطال أوروبا","تبديل","رقم (7.5 كغ)","كم يبلغ وزن الكأس الحاليّة تقريباً؟","سبعة كيلوغرامات ونصف","أيّ نادٍ اسكتلنديّ كان أوّل نادٍ بريطانيّ يرفع الكأس سنة 1967؟","سلتيك"
"ADM1871","دوري أبطال أوروبا","تبديل","الجواب يُحسب من السؤال (1966–1998)","كم موسماً بقي ريال مدريد بلا لقبٍ أوروبيّ بين 1966 و1998؟","اثنان وثلاثون موسماً","من صاحب هدف «الطائرة» الشهير في نهائيّ 2002 بغلاسكو؟","زين الدين زيدان"
"ADM3003","ديزني وبيكسار","حجب","رقم (7.4 مليار)","بكم اشترت ديزني بيكسار سنة 2006؟","7.4 مليار دولار","",""
"ADM3013","ديزني وبيكسار","حجب","سنة (1992)","في أيّ سنةٍ افتُتحت ديزني لاند باريس؟","1992","",""
"ADM3016","ديزني وبيكسار","حجب","سنة (1983)","في أيّ سنةٍ افتُتحت طوكيو ديزني لاند وهي أوّل حديقةٍ لديزني خارج أمريكا؟","1983","",""
"ADM1375","رياضة عامة","تبديل","رقم (767 هدفاً)","كم هدفاً سجّل بيليه رسميّاً في مسيرته تقريباً؟","سبعمئة وسبعة وستّون","ما الاسم الحقيقيّ لبيليه؟","إدسون أرانتس دو ناسيمنتو"
"ADM1622","سيارات","حجب","رقم (5000 كم)","كم كيلومتراً يبلغ طول سباق لومان لأربع وعشرين ساعة تقريباً؟","خمسة آلاف","",""
"ADM1625","سيارات","حجب","سنة (1971)","في أيّ سنةٍ ظهرت الوسادة الهوائيّة في السيّارات لأوّل مرّة؟","1971","",""
"ADM1558","سينما ودراما","تبديل","فرانك بورزيغي مستحيل","من أوّل مخرجٍ نال جائزة أوسكار أفضل إخراج؟","فرانك بورزيغي","ما اسم أوّل فيلمٍ فاز بأوسكار أفضل فيلم في الحفل الأوّل سنة 1929؟","أجنحة (Wings)"
"ADM1565","سينما ودراما","تبديل","رقم (6 أشهر)","كم استغرق تصوير فيلم «العرّاب» من أشهر؟","ستّة","من الموسيقار الإيطاليّ الذي ألّف موسيقى فيلم «العرّاب»؟","نينو روتا"
"ADM1570","سينما ودراما","تبديل","رقم (53 فيلماً)","كم فيلماً أخرجه ألفريد هيتشكوك تقريباً؟","ثلاثة وخمسون","ما اسم فيلم هيتشكوك الذي صُوّر كلّه في شقّةٍ واحدة بلقطاتٍ طويلة متّصلة؟","الحبل (Rope)"
"ADM1573","سينما ودراما","تبديل","رقم (500 دقيقة)","كم دقيقةً يبلغ طول أطول فيلمٍ تجاريّ في التاريخ؟","أكثر من خمسمئة","من الممثّل الذي فاز بثلاث جوائز أوسكار لأفضل ممثّل وهو الرقم القياسيّ؟","دانيال داي لويس"
"ADM5532","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","ماستودون","شعار أيّ شبكة تواصلٍ لامركزيّة هذا؟",""
"ADM5533","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","بلوسكاي","شعار أيّ شبكة تواصلٍ اجتماعيّ هذا؟",""
"ADM5534","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","رياكت","شعار أيّ مكتبةٍ من «ميتا» لبناء واجهات الويب هذا؟",""
"ADM5535","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","فيو","شعار أيّ إطار عملٍ لواجهات الويب هذا؟",""
"ADM5536","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","أنغولار","شعار أيّ إطار عملٍ من «غوغل» لواجهات الويب هذا؟",""
"ADM5537","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","كوبرنيتس","شعار أيّ نظامٍ لإدارة الحاويات البرمجيّة هذا؟",""
"ADM5538","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","غيت","شعار أيّ نظامٍ لإدارة نسخ الشيفرة البرمجيّة هذا؟",""
"ADM5539","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","رست","شعار أيّ لغة برمجةٍ هذا؟",""
"ADM5540","شعارات","قرينة","النوع قرينة","ما هذا الرمز؟","لايتكوين","ما هذه العملة الرقميّة؟",""
"ADM5541","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","بينانس","شعار أيّ منصّةٍ لتداول العملات الرقميّة هذا؟",""
"ADM5542","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","تارغت","شعار أيّ سلسلة متاجر أمريكيّة هذا؟",""
"ADM5543","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","بيتس","شعار أيّ علامة سمّاعاتٍ هذا؟",""
"ADM5544","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","ويكيميديا كومنز","شعار أيّ مستودعٍ للصور الحرّة هذا؟",""
"ADM5545","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","بلندر","شعار أيّ برنامجٍ حرّ للنمذجة ثلاثيّة الأبعاد هذا؟",""
"ADM5546","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","الكريستالة الحمراء","ما هذا الرمز الذي اعتمدته الحركة الدوليّة للإغاثة سنة 2005 شعاراً ثالثاً محايداً؟",""
"ADM5547","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","موزيلا","شعار أيّ مؤسّسةٍ للبرمجيّات الحرّة هذا؟",""
"ADM5548","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","سيغنال","شعار أيّ تطبيق مراسلةٍ مشفّر هذا؟",""
"ADM5549","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","الاتحاد الأفريقي","شعار أيّ منظّمةٍ قارّيّة هذا؟",""
"ADM5550","شعارات","قرينة","النوع قرينة","شعار مَن هذا؟","آب ستور","شعار أيّ متجر تطبيقاتٍ هذا؟",""
"ADM5551","شعارات","قرينة","النوع قرينة","ما هذا الرمز؟","رمز السلام","ما هذا الشعار الذي وُلد في حملةٍ بريطانيّة لنزع السلاح النوويّ سنة 1958؟",""
"ADM1473","طب وصحة","حجب","سنة (1954)","في أيّ سنةٍ أُجريت أوّل عمليّة زرع كلىً ناجحة؟","1954","",""
"ADM1440","علوم واختراعات","حجب","رقم (63 عنصراً)","كم عنصراً ضمّ جدول مندلييف حين نشره أوّل مرّة؟","ثلاثة وستّون","",""
