id,category,level,action,new_level_or_kept_id,question,answer
"ADM1555","أدب وفنون","تعجيزي","استبعاد: مكرّر","H066","دون كيخوته رواية إسبانيّة خالدة — من كاتبها؟","ثربانتس"
"ADM1698","أدب وفنون","تعجيزي","استبعاد: مكرّر","H198","كتاب «طوق الحمامة» في الحبّ ألّفه فقيهٌ أندلسيّ — من هو؟","ابن حزم"
"ADM1549","أدب وفنون","تعجيزي","استبعاد: مكرّر","L033","ما اسم البحر الشعريّ الذي نظم عليه أكثر شعراء العرب؟","الطويل"
"ADM1557","أدب وفنون","تعجيزي","استبعاد: مكرّر","ADM1546","الطغراء العثمانيّة تُكتب بخطٍّ خاصّ — ما اسمه؟","الديواني الجلي"
"L034","أدب وفنون","متوسط","استبعاد: مكرّر","ADM2236","ما اسم العلم الذي يدرس أوزان الشعر العربي؟","علم العروض"
"L035","أدب وفنون","متوسط","استبعاد: مكرّر","لغة عربية","من وضع علم العروض؟","الخليل بن أحمد الفراهيدي"
"M473","من أنا؟","متوسط","استبعاد: مكرّر","H056","فيلسوف مسلم لُقّب بـ«المعلّم الثاني»، لأنه أتى بعد أرسطو الذي كان يُلقَّب بالمعلّم الأول. من هذه الشخصية؟","الفارابي"
"H267","من أنا؟","صعب","استبعاد: مكرّر","H062","فيلسوف ألماني ألّف كتاب «رأس المال»، وصاغ مع رفيقه إنغلز البيان الذي قامت عليه الحركة الشيوعية. من هذه الشخصية؟","كارل ماركس"
"E489","من أنا؟","سهل","استبعاد: مكرّر","H071","رسّام إيطالي نحت وصوّر ورسم سقف كنيسة في روما، ونحت تمثال داوود الرخامي. من هذه الشخصية؟","مايكل أنجلو"
"E259","من أنا؟","سهل","استبعاد: مكرّر","H068","رسم لوحة الموناليزا، وابتكر تصاميم آلات طائرة سبقت عصره بقرون. من هذه الشخصية؟","ليوناردو دافنشي"
"M461","من أنا؟","متوسط","استبعاد: مكرّر","M001","كاتب فرنسي ألّف رواية «البؤساء» ورواية «أحدب نوتردام»، وكان أيضاً شاعراً وسياسياً معارضاً للإمبراطور. من هذه الشخصية؟","فيكتور هوغو"
"M464","من أنا؟","متوسط","استبعاد: مكرّر","M048","روائي كولومبي ألّف رواية «مئة عام من العزلة»، ويُعدّ رائد أسلوب الواقعية السحرية في الأدب. من هذه الشخصية؟","غابرييل غارثيا ماركيز"
"M462","من أنا؟","متوسط","استبعاد: مكرّر","L011","طيّار وكاتب فرنسي ألّف قصة «الأمير الصغير»، واختفت طائرته فوق البحر المتوسط في مهمة استطلاع حربية. من هذه الشخصية؟","أنطوان دو سانت إكزوبيري"
"E280","من أنا؟","سهل","استبعاد: مكرّر","H010","وضع نظرية التطوّر والانتخاب الطبيعي، في كتابه «أصل الأنواع». من هذه الشخصية؟","تشارلز داروين"
"E159","أدب وفنون","سهل","تغيير مستوى","متوسط","ما اسم الديوان الشعري الأشهر لعمر الخيام؟","الرباعيات"
"E164","أدب وفنون","سهل","تغيير مستوى","متوسط","من مؤلف رواية رجال في الشمس؟","غسان كنفاني"
"E172","أدب وفنون","سهل","تغيير مستوى","متوسط","ما اسم الجدارية التي رسمها دافنشي في دير بميلانو وتصوّر لحظة إعلان الخيانة؟","العشاء الأخير"
"L026","أدب وفنون","سهل","تغيير مستوى","متوسط","من الشاعر الكويتي الملقب بشاعر الخليج؟","فهد العسكر"
"H068","أدب وفنون","متوسط","تغيير مستوى","سهل","من رسم لوحة الموناليزا؟","ليوناردو دافنشي"
"M082","أدب وفنون","متوسط","تغيير مستوى","سهل","من أول أديب عربي يحصل على جائزة نوبل في الأدب؟","نجيب محفوظ"
"M083","أدب وفنون","متوسط","تغيير مستوى","صعب","في أي عام حصل نجيب محفوظ على جائزة نوبل؟","1988"
"H057","أدب وفنون","صعب","تغيير مستوى","متوسط","من الفيلسوف الملقب بالمعلم الأول؟","أرسطو"
"E382","أدب وفنون","سهل","تغيير مستوى","متوسط","ما نوع الكلمة التي تدل على صفة الاسم؟","النعت"
"ADM0732","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى من يضع نغم الأغنية لا كلماتها؟","الملحّن"
"ADM0733","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى الأغنية التي تُعزف في المناسبات الرسمية وترمز إلى الدولة؟","النشيد الوطني"
"ADM0739","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى من يكتب كلمات الأغنية؟","الشاعر"
"ADM0740","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى الشخص الذي يؤدّي الأغنية بصوته أمام الجمهور؟","المطرب"
"ADM0742","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى من يقود الفرقة الموسيقية الكبيرة بحركات يده؟","المايسترو"
"ADM0743","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى مجموعة المغنّين الذين يؤدّون معاً خلف المطرب؟","الكورال"
"ADM0744","أغاني وطرب","سهل","استبعاد: تافه","","ما اسم الفرقة الموسيقية الكبيرة التي تضمّ آلات وترية ونفخية وإيقاعية معاً؟","الأوركسترا"
"ADM0745","أغاني وطرب","سهل","استبعاد: تافه","","ما اسم المكان المجهّز لتسجيل الأغاني؟","الاستوديو"
"ADM0746","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى مجموعة الأغاني التي تصدر للفنان في إصدار واحد؟","الألبوم"
"ADM0748","أغاني وطرب","سهل","استبعاد: تافه","","ما اسم الغناء الهادئ الذي تردّده الأمّ لطفلها لينام؟","التهويدة"
"ADM0749","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى العازف على آلة العود؟","العوّاد"
"ADM0751","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى الجزء الغنائي الذي يؤدّيه مطربان معاً؟","الديو"
"ADM0753","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى الآلات التي يصدر صوتها من ضرب سطح مشدود مثل الطبل والدفّ؟","آلات إيقاعية"
"ADM0754","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى الآلات التي يصدر صوتها من نفخ الهواء مثل الناي والمزمار؟","آلات نفخ"
"ADM0755","أغاني وطرب","سهل","استبعاد: تافه","","ما البلد الذي نشأ فيه الأخوان رحباني وفيروز؟","لبنان"
"ADM0756","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى الشريط المصوّر الذي يرافق الأغنية ويُعرض على الشاشات؟","الفيديو كليب"
"ADM0757","أغاني وطرب","سهل","استبعاد: تافه","","ما الوصف الذي يُطلق على أغنيةٍ يؤدّيها مطرب واحد بلا مشاركة؟","أغنية منفردة"
"ADM0759","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى الصوت الغليظ في الغناء مقابل الصوت الحادّ؟","الجهير"
"ADM0760","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى الحفلة التي يؤدّيها المطرب أمام جمهور حاضر لا في تسجيل؟","حفلة حيّة"
"ADM0762","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى القطعة الموسيقية التي تُعزف بلا غناء؟","معزوفة"
"ADM0763","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى الاحتفال الفنّي الذي يجمع حفلات عدّة على مدى أيام؟","المهرجان"
"ADM0764","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى تسجيل الأغنية على قرص دائري قديم يُعزف بإبرة؟","الأسطوانة"
"ADM0765","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى الأغنية التي تُمدح فيها الأوطان وتُغنّى في الأعياد الوطنية؟","أغنية وطنية"
"ADM0766","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى المزج بين لحنين أو أكثر في عمل واحد؟","الميدلي"
"ADM0767","أغاني وطرب","سهل","استبعاد: تافه","","ماذا تُسمّى سرعة الأداء الموسيقي بطئاً أو إسراعاً؟","الإيقاع"
"ADM0769","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى صندوق العود المجوّف الذي يضخّم صوته؟","صندوق الصوت"
"ADM1682","أغاني وطرب","تعجيزي","استبعاد: مكرّر","ADM0772","ما الاسم الحقيقيّ لفيروز؟","نهاد حدّاد"
"ADM1675","أغاني وطرب","تعجيزي","استبعاد: مكرّر","ADM0776","من ملحّن نشيد «بلادي بلادي» المصريّ؟","سيد درويش"
"ADM1681","أغاني وطرب","تعجيزي","استبعاد: مكرّر","ADM0729","ما اسم الأخوين اللذين لحّنا أغلب أغاني فيروز؟","الرحباني"
"ADM1693","أغاني وطرب","تعجيزي","استبعاد: مكرّر","ADM0738","بأيّ آلةٍ اشتهر الموسيقار فريد الأطرش؟","العود"
"ADM1686","أغاني وطرب","تعجيزي","استبعاد: مكرّر","ADM0785","كم وتراً للعود العربيّ التقليديّ؟","خمسة أزواج"
"ADM1687","أغاني وطرب","تعجيزي","استبعاد: مكرّر","ADM0794","بأيّ اسمٍ تُعرف الآلة الإيقاعيّة الفخّاريّة في الطرب العربيّ؟","الدربكة"
"ADM1679","أغاني وطرب","تعجيزي","استبعاد: مكرّر","M376","أيّ ملحّنٍ لُقّب بـ«موسيقار الأجيال»؟","محمد عبدالوهاب"
"ADM0727","أغاني وطرب","سهل","تغيير مستوى","متوسط","من الشقيقة المطربة للموسيقار فريد الأطرش؟","أسمهان"
"ADM0736","أغاني وطرب","سهل","تغيير مستوى","متوسط","ما اسم القالب الغنائي الأندلسي القديم الذي يقوم على تعدّد الأدوار والقفلات؟","الموشّح"
"ADM0734","أغاني وطرب","سهل","تغيير مستوى","متوسط","ما اسم مجموعة النغمات التي تُبنى عليها القطعة في الموسيقى العربية؟","المقام"
"ADM1690","أغاني وطرب","تعجيزي","تغيير مستوى","سهل","أيّ مطربٍ عراقيّ لُقّب بـ«قيصر الأغنية العربيّة»؟","كاظم الساهر"
"ADM1694","أغاني وطرب","تعجيزي","تغيير مستوى","سهل","أيّ مغنٍّ يحمل لقب «ملك البوب»؟","مايكل جاكسون"
"ADM1688","أغاني وطرب","تعجيزي","تغيير مستوى","متوسط","أيّ فرقةٍ بريطانيّة باعت أكثر من غيرها في التاريخ؟","البيتلز"
"ADM1678","أغاني وطرب","تعجيزي","تغيير مستوى","متوسط","من كتب كلمات أغنية «الأطلال»؟","إبراهيم ناجي"
"ADM0752","أغاني وطرب","سهل","استبعاد: تافه","","ماذا يُسمّى تكرار المطرب للجملة الواحدة بأداء مختلف ليطرب السامعين؟","الإعادة"
"ADM0021","أكلات","سهل","استبعاد: تافه","","ما المتبل الشامي المصنوع أساساً من الحمص والطحينة؟","الحمص"
"ADM0025","أكلات","سهل","استبعاد: تافه","","ما الساندويتش الشامي الذي يُحشى بلحم متبل مشوي على سيخ دوّار؟","الشاورما"
"ADM0033","أكلات","سهل","استبعاد: تافه","","ما الخبز المصري الدائري المصنوع غالباً من القمح الكامل؟","العيش البلدي"
"ADM0064","أكلات","سهل","استبعاد: تافه","","ما المشروب العربي الساخن المنكّه بالهيل والمقدّم في فناجين صغيرة؟","القهوة العربية"
"ADM0065","أكلات","سهل","استبعاد: تافه","","ما الشاي الشائع في المغرب والمحضّر بأوراق النعناع والسكر؟","الشاي بالنعناع"
"ADM0068","أكلات","سهل","استبعاد: تافه","","ما الطبق الإيطالي الدائري المخبوز والمغطى عادة بصلصة الطماطم والجبن؟","البيتزا"
"ADM0089","أكلات","سهل","استبعاد: تافه","","ما الطعام الأمريكي المكوّن من قطعة لحم مفروم داخل خبز دائري؟","الهامبرغر"
"ADM0108","أكلات","متوسط","استبعاد: تافه","","في الثريد الإماراتي، ما العنصر الذي يُفتت في المرق؟","الخبز"
"ADM0160","أكلات","متوسط","استبعاد: تافه","","ما الخضار المحشوة التي تعني كلمة محشي اسماً عاماً لها؟","خضروات محشوة بالأرز"
"ADM0206","أكلات","صعب","استبعاد: تافه","","ما اسم الحشو الكويتي المتبل الذي يدخل في سمك الزبيدي المحشو؟","الحشو"
"ADM0263","أكلات","صعب","استبعاد: تافه","","كيف يُركّب لحم الشاورما على النار؟","طبقات على سيخ دوّار"
"ADM0244","أكلات","صعب","استبعاد: تافه","","ما اسم رأس الحانوت في المطبخ المغربي؟","خليط متعدد من التوابل"
"ADM0226","أكلات","صعب","استبعاد: تافه","","أيّهما أكثر طحينةً: المتبل أم بابا غنوج؟","المتبل"
"ADM0109","أكلات","متوسط","استبعاد: مكرّر","ADM0001","ما الطبق السعودي من الأرز واللحم والطماطم الذي يُعدّ الأشهر في موائد المملكة؟","الكبسة"
"ADM0204","أكلات","صعب","استبعاد: مكرّر","ADM0006","ما اسم الأرز الكويتي المطهو بمرق السمك ويُقدّم غالباً مع السمك المقلي؟","المطبق"
"ADM0216","أكلات","صعب","استبعاد: مكرّر","ADM0002","ما اسم طبق عسير المصنوع من دقيق وسمن وعسل ويُشكّل ككتلة؟","العريكة"
"ADM1651","أكلات","تعجيزي","استبعاد: مكرّر","ADM0051","بأيّ اسمٍ يُعرف الأرزّ المطبوخ باللحم والسمن في الخليج؟","المجبوس"
"ADM0217","أكلات","صعب","استبعاد: مكرّر","ADM0015","ما اسم الخبز الرقيق الذي يقطع في مرق الخضار لصنع المرقوق؟","خبز المرقوق"
"ADM0003","أكلات","صعب","تغيير مستوى","سهل","معكرونة تُقدم مع صلصة الريحان الأخضر الطازج، الثوم، الصنوبر، وزيت الزيتون.","باستا البستو"
"ADM0075","أكلات","صعب","تغيير مستوى","متوسط","ما الطبق اليوناني المكوّن من طبقات باذنجان ولحم وصلصة بشاميل؟","الموساكا"
"ADM0084","أكلات","صعب","تغيير مستوى","متوسط","ما الطبق الكوري من خضروات مخمّرة وحارة غالباً؟","الكيمتشي"
"ADM0086","أكلات","صعب","تغيير مستوى","متوسط","ما حساء المعكرونة الفيتنامي المعروف بمرقه العطري؟","الفو"
"ADM0170","أكلات","سهل","تغيير مستوى","متوسط","ما الجبن الذي يدخل تقليدياً في صلصة البيستو مع الريحان؟","البارميزان"
"ADM1642","أكلات","تعجيزي","تغيير مستوى","متوسط","ما اسم أغلى نوع لحمٍ بقريّ في العالم؟","واغيو"
"ADM1644","أكلات","تعجيزي","تغيير مستوى","متوسط","ما اسم الفطر الأغلى ثمناً في العالم؟","الكمأة"
"ADM1652","أكلات","تعجيزي","تغيير مستوى","صعب","أيّ سمكةٍ يابانيّة تقتل آكلها إن أُعدّت خطأً؟","الفوغو"
"PA001","أمثال وألغاز","سهل","استبعاد: تافه","","الصديق…","وقت الضيق"
"PA005","أمثال وألغاز","سهل","استبعاد: تافه","","لا تؤجل عمل اليوم…","إلى الغد"
"PA006","أمثال وألغاز","سهل","استبعاد: تافه","","الكتاب يُقرأ…","من عنوانه"
"PA011","أمثال وألغاز","سهل","استبعاد: تافه","","الجار قبل…","الدار"
"PA012","أمثال وألغاز","سهل","استبعاد: تافه","","لكل مجتهد…","نصيب"
"PA019","أمثال وألغاز","سهل","استبعاد: تافه","","العقل السليم…","في الجسم السليم"
"PA020","أمثال وألغاز","سهل","استبعاد: تافه","","العلم نور…","والجهل ظلام"
"PA023","أمثال وألغاز","سهل","استبعاد: تافه","","ما الشيء الذي يكتب ولا يقرأ؟","القلم"
"PA036","أمثال وألغاز","سهل","استبعاد: تافه","","ما الشيء الذي له أربع أرجل ولا يمشي؟","الطاولة"
"PA040","أمثال وألغاز","سهل","استبعاد: تافه","","ما الشيء الذي نأكل منه ولا نأكله؟","الصحن"
"PA077","أمثال وألغاز","متوسط","استبعاد: تافه","","ما الحيوان الذي يحمل بيته على ظهره؟","الحلزون"
"PA044","أمثال وألغاز","متوسط","استبعاد: مكرّر","E497","الطيور على أشكالها…","تقع"
"ADM1364","أمثال وألغاز","تعجيزي","استبعاد: تافه","","في أيّ معركةٍ قيل «لا يُلدغ المؤمن من جحرٍ مرّتين»؟","حديث نبويّ لا معركة"
"ADM1357","أمثال وألغاز","تعجيزي","استبعاد: تافه","","ما المثل الذي يُضرب لمن يُعطي ما لا يملك؟","الفاقد لا يعطي"
"ADM1355","أمثال وألغاز","تعجيزي","استبعاد: تافه","","ما أصل المثل «وافق شنٌّ طبقة»؟","رجل وقبيلة"
"ADM1360","أمثال وألغاز","تعجيزي","تغيير مستوى","متوسط","ماذا يعني «سبق السيف العذل»؟","فات أوان اللوم"
"ADM1366","أمثال وألغاز","تعجيزي","تغيير مستوى","متوسط","المثل «الصيف ضيّعت اللبن» يُضرب لمن؟","من فرّط ثمّ ندم"
"ADM1724","الدوري الإنجليزي","سهل","استبعاد: تافه","","كم نقطةً يحصدها الفريق عند الفوز بمباراة؟","ثلاث نقاط"
"ADM1722","الدوري الإنجليزي","سهل","استبعاد: تافه","","ما لون قميص نادي تشيلسي الأساسيّ؟","الأزرق"
