id,category,level,action,note,question,answer,new_question,new_answer
"ADM2116","حضارات قديمة","سهل","حجب","تافه","ما اسم التمثال الضخم برأس إنسانٍ وجسد أسدٍ في الجيزة؟","أبو الهول","",""
"ADM2122","حضارات قديمة","سهل","حجب","تافه","ماذا كان يُسمّى ملك مصر القديمة؟","فرعون","",""
"ADM2121","حضارات قديمة","سهل","حجب","تافه","ما النهران اللذان قامت بينهما حضارة بلاد الرافدين؟","دجلة والفرات","",""
"ADM2126","حضارات قديمة","سهل","حجب","تافه + مكرّر مع ADM1159","ما الغرض الذي بُنيت من أجله الأهرامات؟","مقابر للملوك","",""
"ADM2130","حضارات قديمة","سهل","حجب","مكرّر مع E275 (أرسطو معلّم الإسكندر)","من الفيلسوف الإغريقيّ الذي كان أستاذاً للإسكندر الأكبر؟","أرسطو","",""
"H127","تاريخ وحضارات","صعب","حجب","مكرّر مع ADM2125 (الإنكا) ومستواه خاطئ","ما الحضارة التي بنت مدينة ماتشو بيتشو؟","حضارة الإنكا","",""
"ADM1800","دوري أبطال أوروبا","سهل","حجب","تافه","أيّ ناديٍ عاصميّ إسبانيّ يرتدي الأبيض ويُلقّب بالملكيّ؟","ريال مدريد","",""
"ADM1805","دوري أبطال أوروبا","سهل","حجب","تافه","في أيّ دولةٍ يلعب نادي يوفنتوس؟","إيطاليا","",""
"ADM1806","دوري أبطال أوروبا","سهل","حجب","مكرّر مع E174 (كامب نو)","ما الملعب الذي يستضيف مباريات برشلونة؟","كامب نو","",""
"ADM1814","دوري أبطال أوروبا","سهل","حجب","مكرّر مع S008 (السيدة العجوز)","أيّ ناديٍ إيطاليّ يُلقّب بـ«السيّدة العجوز»؟","يوفنتوس","",""
"ADM1804","دوري أبطال أوروبا","سهل","حجب","الإجابة في السؤال + مكرّر مع S054","ما اسم المسابقة الأوروبيّة الثانية في الترتيب بعد دوري الأبطال؟","الدوري الأوروبي","",""
"ADM2680","ديزني وبيكسار","سهل","حجب","تافه","ما اسم السمكة الصغيرة التي يبحث عنها أبوها في المحيط في فيلم بيكسار الشهير؟","نيمو","",""
"ADM2683","ديزني وبيكسار","سهل","حجب","تافه","ما اسم الأميرة التي فقدت حذاءها الزجاجيّ في الحفل؟","سندريلا","",""
"ADM2682","ديزني وبيكسار","سهل","حجب","تافه","ما اسم الدمية الخشبيّة التي يطول أنفها كلّما كذبت؟","بينوكيو","",""
"ADM2938","ديزني وبيكسار","سهل","حجب","تافه","ما اسم شبل الأسد بطل «الأسد الملك»؟","سيمبا","",""
"ADM2942","ديزني وبيكسار","سهل","حجب","تافه","ما اسم الملكة ذات القدرات الثلجيّة في «فروزن»؟","إلسا","",""
"ADM2943","ديزني وبيكسار","سهل","حجب","تافه","كم عدد الأقزام في «بياض الثلج»؟","سبعة","",""
"ADM2949","ديزني وبيكسار","سهل","حجب","تافه + الاسم في السؤال","ما اسم صديقة ميكي ماوس؟","ميني ماوس","",""
"ADM2686","ديزني وبيكسار","سهل","حجب","تافه: «مصباح علاء الدين» جوابٌ عن فيلم علاء الدين","ما اسم المصباح السحريّ الذي يخرج منه المارد في فيلم ديزني عن فتى الشارع؟","مصباح علاء الدين","",""
"ADM2755","ديزني وبيكسار","تعجيزي","حجب","مكرّر مع ADM2704 (الأميرة والضفدع)","أوّل فيلمٍ طويل لديزني بأميرةٍ من أصلٍ إفريقيّ — ما هو؟","الأميرة والضفدع","",""
"S015","رياضة عامة","سهل","حجب","تافه","ما لقب نادي ليفربول الإنجليزي؟","الريدز","",""
"ADM0620","سيارات","سهل","حجب","تافه","أي علامة تشتهر بسيارة غولف؟","فولكس فاغن","",""
"ADM0690","سيارات","سهل","حجب","تافه","من الصانع الذي يبيع سيارة موستانغ؟","فورد","",""
"ADM0623","سيارات","سهل","حجب","تافه","أي علامة تشتهر بسيارة رانجلر؟","جيب","",""
"ADM0615","سيارات","سهل","حجب","تافه + صياغة أمر «حدّد»","حدد دولة المنشأ لعلامة تسلا.","الولايات المتحدة","",""
"E313","سينما ودراما","سهل","حجب","تافه","من الفنان المصري الملقّب بـ«الزعيم»؟","عادل إمام","",""
"E329","سينما ودراما","سهل","حجب","تافه + فئة صراع العروش قائمة","ما مسلسل الفانتازيا الشهير الذي تتصارع فيه ممالك على العرش الحديدي وتظهر فيه التنانين؟","لعبة العروش","",""
"E390","سينما ودراما","سهل","حجب","تافه","ما اسم الشخصية الكرتونية الفأر الذي أنشأ عليه والت ديزني شركته؟","ميكي ماوس","",""
"E483","سينما ودراما","سهل","حجب","تافه","ما اسم الشخصية الكرتونية البحّار الذي يقوى بأكل السبانخ؟","بوباي","",""
"E387","سينما ودراما","سهل","حجب","تافه","ما اسم الفيلم الذي تدور أحداثه حول لعبة أطفال تنبض بالحياة حين يغيب البشر؟","حكاية لعبة","",""
"E485","سينما ودراما","سهل","حجب","تافه + الإجابة في السؤال","ما اسم الفيلم الذي تدور أحداثه حول أميرة تجمّد كل ما تلمسه بالثلج؟","ملكة الثلج فروزن","",""
"E481","سينما ودراما","سهل","حجب","تافه","ما اسم فيلم الرسوم المتحركة الذي بطله دبّ أخرق يصير محارباً أسطورياً في وادي السلام؟","كونغ فو باندا","",""
"M584","سينما ودراما","سهل","حجب","تافه","ما الاسم الذي تُعرف به صناعة السينما الهندية؟","بوليوود","",""
"E328","سينما ودراما","سهل","حجب","تافه","من بطل فيلم «اللمبي»؟","محمد سعد","",""
"E327","سينما ودراما","سهل","حجب","تافه","من بطل فيلم «صعيدي في الجامعة الأمريكية»؟","محمد هنيدي","",""
"E356","طب وصحة","سهل","حجب","تافه","ما أكبر عضو في جسم الإنسان؟","الجلد","",""
"E198","طب وصحة","سهل","حجب","تافه","إلى أي جهاز ينتمي المخ والحبل الشوكي؟","الجهاز العصبي","",""
"E197","طب وصحة","سهل","حجب","تافه","ما اسم المرض الذي يفقد فيه كبار السن ذاكرتهم تدريجيًا؟","الزهايمر","",""
"ADM2854","طب وصحة","سهل","حجب","تافه","ما اسم مرض نقص المناعة المكتسب الذي يسبّبه فيروس HIV؟","الإيدز","",""
"E431","علوم واختراعات","سهل","حجب","تافه","ما اسم الظاهرة التي تظهر فيها ألوان الطيف في السماء بعد المطر؟","قوس قزح","",""
"M029","علوم واختراعات","سهل","حجب","تافه","من صاحب قانون الجاذبية؟","إسحاق نيوتن","",""
"M076","علوم واختراعات","سهل","حجب","مكرّر مع E260 (النسبية)","ما أشهر نظرية وضعها ألبرت أينشتاين؟","النسبية","",""
"M191","علوم واختراعات","سهل","حجب","مكرّر مع E267 (ماري كوري)","من أول امرأة تحصل على جائزة نوبل؟","ماري كوري","",""
"ADM2034","قصص الأنبياء","سهل","حجب","تافه","من النبيّ الذي التقمه الحوت؟","يونس عليه السلام","",""
"ADM2036","قصص الأنبياء","سهل","حجب","تافه","من النبيّ الذي صنع الفلك ونجا بمن آمن معه؟","نوح عليه السلام","",""
"ADM2038","قصص الأنبياء","سهل","حجب","تافه","من النبيّ الذي ألقاه إخوته في الجبّ؟","يوسف عليه السلام","",""
"ADM2043","قصص الأنبياء","سهل","حجب","تافه","من أوّل الأنبياء وأبو البشر؟","آدم عليه السلام","",""
"ADM2052","قصص الأنبياء","سهل","حجب","تافه","ما اسم أمّ عيسى عليه السلام؟","مريم عليها السلام","",""
"ADM2041","قصص الأنبياء","سهل","حجب","تافه + موسى مكرّر في الخليّة مع ADM2035","من النبيّ الذي انفلق له البحر فنجا وأُغرق فرعون؟","موسى عليه السلام","",""
"ADM3270","قصص الأنبياء","سهل","حجب","تافه","ما اسم البيت الذي بناه إبراهيم وإسماعيل عليهما السلام في مكّة؟","الكعبة","",""
"ADM3275","قصص الأنبياء","سهل","حجب","تافه: «زوجة لوط» → «امرأة لوط»","ما اسم زوجة لوط عليه السلام كما تُعرف في القرآن؟","امرأة لوط","",""
"ADM2045","قصص الأنبياء","سهل","حجب","مكرّر مع E490 (صبر أيوب)","من النبيّ الذي يُضرب المثل بصبره على البلاء؟","أيوب عليه السلام","",""
"ADM3276","قصص الأنبياء","سهل","حجب","مكرّر مع E496 (عيسى تكلّم في المهد)","من النبيّ الذي تكلّم في المهد صبيّاً؟","عيسى عليه السلام","",""
"ADM1876","كأس العالم","سهل","حجب","تافه","أيّ إمارةٍ خليجيّة احتضنت النهائيات سنة 2022؟","قطر","",""
"ADM1877","كأس العالم","سهل","حجب","تافه","من رفع اللقب في ملعب لوسيل بعد ركلات الترجيح؟","الأرجنتين","",""
"ADM1874","كأس العالم","سهل","حجب","تافه","كم عاماً يفصل بين نسخةٍ وأخرى من البطولة؟","أربعة أعوام","",""
"ADM1892","كأس العالم","سهل","حجب","مكرّر مع ADM1877 (نهائيّ 2022)","أيّ منتخبٍ أوروبيّ خسر نهائيّ 2022؟","فرنسا","",""
"ADM2207","لغة عربية","سهل","حجب","تافه","ما جمع كلمة «قلم»؟","أقلام","",""
"ADM2208","لغة عربية","سهل","حجب","تافه","ما جمع كلمة «مدينة»؟","مدن","",""
"ADM2209","لغة عربية","سهل","حجب","تافه","ما جمع كلمة «امرأة»؟","نساء","",""
"ADM2210","لغة عربية","سهل","حجب","تافه","ما ضدّ كلمة «الكرم»؟","البخل","",""
"ADM2211","لغة عربية","سهل","حجب","تافه","ما ضدّ كلمة «الجبن»؟","الشجاعة","",""
"ADM2212","لغة عربية","سهل","حجب","تافه","ما مرادف كلمة «الفرح»؟","السرور","",""
"ADM2216","لغة عربية","سهل","حجب","تافه","ما مؤنّث كلمة «فتى»؟","فتاة","",""
"ADM2217","لغة عربية","سهل","حجب","تافه","ما أوّل حروف الأبجديّة العربيّة؟","الألف","",""
"ADM2200","لغة عربية","سهل","حجب","تافه","ما آخر حروف الأبجديّة العربيّة؟","الياء","",""
"ADM3589","لغة عربية","سهل","حجب","تافه + مكرّر مع L005","كم حرفاً في الأبجديّة العربيّة؟","28","",""
