id,category,level,action,note,question,answer
"ADM4360","الصحابة والتابعون","متوسط","حجب","مقلوب ADM2301 (طعن عمر في الفجر)","في أيّ صلاة طُعن عمر بن الخطاب؟","صلاة الفجر"
"ADM4383","الصحابة والتابعون","متوسط","حجب","مكرّر مع ADM3183 (دعاء النبيّ لابن عبّاس)","لمن دعا النبي ﷺ بقوله: «اللهم علّمه التأويل»؟","عبد الله بن عباس"
"ADM3372","الفقه والعبادات","متوسط","حجب","مقلوب ADM2434 (ولوغ الكلب)","ما اسم الحيوان الذي نجاسته مغلّظة يُغسل منها الإناء سبعاً؟","الكلب"
"ADM4205","القرآن الكريم","متوسط","حجب","مكرّر مع ADM2450 (قصّة يوسف)","ما أطول قصة وردت كاملة في سورة واحدة من القرآن؟","قصة يوسف"
"M516","الكويت","متوسط","حجب","مبهم + مكرّر مع E311 (عبدالحسين)","من هو الفنان الكويتي الراحل الذي يُعدّ من أشهر نجوم الكوميديا في الخليج والوطن العربي؟","عبدالحسين عبدالرضا"
"M517","الكويت","متوسط","حجب","مبهم: «أبرز نجمات الدراما» بلا واقعة","من هي الفنانة الكويتية التي تُعدّ من أبرز نجمات الدراما الخليجية على مدى عقود؟","سعاد عبدالله"
"M630","الكويت","متوسط","حجب","مكرّر مع M495 (فيلكا)","ما اسم الجزيرة الكويتية التي تقع قبالة مدينة الكويت ويقصدها الناس للنزهة؟","جزيرة فيلكا"
"ADM1377","تاريخ وحضارات","متوسط","حجب","مقلوب E270 (مانديلا 27 سنة)","كم سنةً قضى نيلسون مانديلا في السجن؟","سبعاً وعشرين"
"M176","تاريخ وحضارات","متوسط","حجب","مكرّر مع ADM5204 (عثمان مؤسّس العثمانيّة)","من مؤسس الدولة العثمانية؟","عثمان الأول"
"M017","تاريخ وحضارات","متوسط","حجب","مكرّر مع E264 (أرمسترونغ)","من أول إنسان مشى على سطح القمر؟","نيل أرمسترونغ"
"M018","تاريخ وحضارات","متوسط","حجب","الجواب في نصّ E264 (1969)","في أي عام هبط الإنسان على سطح القمر؟","1969"
"M167","تاريخ وحضارات","متوسط","حجب","مكرّر مع E262 (نابليون واترلو)","من القائد الفرنسي الذي هُزم في معركة واترلو؟","نابليون بونابرت"
"M422","تاريخ وحضارات","متوسط","حجب","مكرّر مع E277 (الإسكندر)","من القائد المقدوني الذي وصلت فتوحاته إلى الهند؟","الإسكندر الأكبر"
"M665","تاريخ وحضارات","متوسط","حجب","«استسلام ألمانيا» ليس معاهدةً — سؤال معطوب","ما اسم المعاهدة التي أنهت الحرب العالمية الثانية في أوروبا؟","استسلام ألمانيا غير المشروط"
"M669","تاريخ وحضارات","متوسط","حجب","سؤال معطوب: الولايات المتحدة «دولة أعلنت استقلالها في أمريكا»","ما اسم أول دولة أعلنت استقلالها عن الاستعمار البريطاني في أمريكا؟","الولايات المتحدة"
"M626","تقنية ومنوعات","متوسط","حجب","تافه: نظام آيفون","ما اسم نظام التشغيل الذي يعمل على أجهزة آيفون؟","آي أو إس"
"ADM5078","جغرافيا ومعالم","متوسط","حجب","مكرّر مع ADM4244 (تونس الخضراء)","أيّ دولة عربية تُلقّب بـ«الخضراء»؟","تونس"
"ADM3862","حروف","متوسط","حجب","مكرّر مع M025 (ويلينغتون)","ما اسم عاصمة نيوزيلندا؟","ويلينغتون"
"ADM2138","حضارات قديمة","متوسط","حجب","مكرّر مع E265 (كليوباترا)","من آخر ملكات مصر البطلميّة؟","كليوباترا"
"M158","تاريخ وحضارات","متوسط","حجب","مقلوب ADM2144 (فيزوف/بومبي)","ما المدينة الرومانية التي دمرها بركان فيزوف؟","بومبي"
"S045","رياضة عامة","متوسط","حجب","مكرّر مع E272 (ميسي الكرات الذهبيّة)","من اللاعب صاحب أكبر عدد من الكرات الذهبية؟","ليونيل ميسي"
"S052","رياضة عامة","متوسط","حجب","جوابان: «الكاراتيه والجودو»","في أي رياضة يُمنح المتقدّمون فيها الحزام الأسود؟","فنون القتال — الكاراتيه والجودو"
"ADM0653","سيارات","متوسط","حجب","مقلوب ADM0665 (MX-5)","من الصانع الذي يبيع سيارة MX-5؟","مازدا"
"ADM3985","سينما ودراما","متوسط","حجب","مكرّر مع E326 (شابلن)","من الممثل الكوميدي الذي اشتهر بأفلام السينما الصامتة وشخصية «الصعلوك»؟","شارلي شابلن"
"M544","سينما ودراما","متوسط","حجب","مكرّر مع L032 (الأسواني/عمارة يعقوبيان)","عن رواية أي كاتب اقتُبس فيلم «عمارة يعقوبيان»؟","علاء الأسواني"
"M182","علوم واختراعات","متوسط","حجب","تافه: الإطارات من المطاط","ما المادة الأساسية التي تُصنع منها إطارات السيارات؟","المطاط"
"ADM3290","قصص الأنبياء","متوسط","حجب","مكرّر مع ADM2057 (سارة) في الخليّة نفسها","ما اسم أوّل زوجات إبراهيم عليه السلام وأمّ إسحاق؟","سارة"
"ADM2060","قصص الأنبياء","متوسط","حجب","مكرّر مع ADM2450 (سورة يوسف)","ما السورة التي وردت فيها قصّة نبيٍّ كاملةً وسُمّيت باسمه؟","سورة يوسف"
"M199","أدب وفنون","متوسط","حجب","خطأ واقعة: نقط الحروف لنصر بن عاصم؛ والنحو في ADM2225","من أول من وضع النقاط على الحروف العربية ووضع علم النحو؟","أبو الأسود الدؤلي"
"ADM2227","لغة عربية","متوسط","حجب","تافه: جمع سماء","ما جمع كلمة «سماء»؟","سماوات"
"ADM2228","لغة عربية","متوسط","حجب","تافه: جمع بستان","ما جمع كلمة «بستان»؟","بساتين"
"ADM2229","لغة عربية","متوسط","حجب","تافه: مفرد أسنان","ما مفرد كلمة «أسنان»؟","سنّ"
"ADM2237","لغة عربية","متوسط","حجب","مكرّر مع ADM2238 (أقسام الكلمة)","كم قسماً للكلمة في العربية؟","ثلاثة أقسام"
"ADM5031","لغة عربية","متوسط","حجب","مقلوب ADM1360 (سبق السيف العذل)","ما معنى «العَذْل» في المثل «سبق السيفُ العَذَل»؟","اللوم"
"ADM2233","لغة عربية","متوسط","حجب","تافه: أداة السؤال عن العاقل","بأيّ أداةٍ يُسأل عن العاقل؟","مَن"
"ADM5715","مسلسلات كويتية","متوسط","حجب","مقلوب ADM5711 (قحطة صانع النعال)","ما مهنة الخال قحطة في «درب الزلق»؟","صانع نعال"
"ADM1078","معالم","متوسط","حجب","مقلوب ADM1070 (شاه جهان/تاج محل)","من الإمبراطور المغولي الذي أمر ببناء تاج محل؟","شاه جهان"
"ADM1128","معالم","متوسط","حجب","تافه: أطول برج في دبي","في أيّ مدينة خليجية يقوم أطول برج في العالم؟","دبي"
"ADM1108","معالم","متوسط","حجب","مكرّر مع ADM2145 (الخزنة)","ما الاسم العربيّ لواجهة البتراء الشهيرة؟","الخزنة"
"ADM1146","معالم","متوسط","حجب","مكرّر مع M508 (جسر جابر)","ما اسم الجسر الذي يربط الكويت بشمال الخليج ويُعدّ من أطول الجسور البحرية؟","جسر جابر"
"ADM1588","من أنا؟","متوسط","حجب","مكرّر مع M465 (بيتهوفن) في الخليّة نفسها","موسيقيٌّ ألمانيّ ألّفتُ أعظم أعمالي بعد أن فقدتُ سمعي — من أنا؟","بيتهوفن"
"L062","أدب وفنون","متوسط","حجب","مكرّر مع M465 (بيتهوفن فقد سمعه)","من الملحن الذي فقد سمعه وواصل التأليف الموسيقي؟","بيتهوفن"
"M042","طب وصحة","متوسط","حجب","مقلوب M443 (ابن سينا/القانون)","من مؤلف كتاب القانون في الطب؟","ابن سينا"
"M014","أدب وفنون","متوسط","حجب","مقلوب M446 (ابن خلدون/المقدّمة)","من صاحب المقدمة الشهيرة في علم العمران؟","ابن خلدون"
"L030","أدب وفنون","متوسط","حجب","مقلوب M441 (ابن بطوطة/تحفة النظار)","ما اسم الكتاب الذي ألّفه ابن بطوطة عن رحلاته؟","تحفة النظار — رحلة ابن بطوطة"
"L015","أدب وفنون","سهل","حجب","مقلوب M444 (أم كلثوم/كوكب الشرق)","بمن تُلقّب المطربة المصرية أم كلثوم؟","كوكب الشرق"
"M193","أحياء وفلك","متوسط","حجب","مكرّر مع M449 (غاغارين)","من أول إنسان صعد إلى الفضاء؟","يوري غاغارين"
"M057","تقنية ومنوعات","متوسط","حجب","مكرّر مع M457 (غراهام بيل)","من مخترع الهاتف؟","ألكسندر غراهام بيل"
"M082","أدب وفنون","سهل","حجب","مكرّر مع M463 (نجيب محفوظ نوبل)","من أول أديب عربي يحصل على جائزة نوبل في الأدب؟","نجيب محفوظ"
"ADM1387","تاريخ وحضارات","متوسط","حجب","مكرّر مع M466 (مالالا)","من أصغر حائزٍ على جائزة نوبل في التاريخ؟","ملالا"
"M470","من أنا؟","متوسط","حجب","مكرّر مع ADM2114 (توت عنخ آمون)","فرعون مصري صغير السن حكم لسنوات قليلة فقط، واكتُشف قبره الذهبي شبه كامل في القرن العشرين. من هذه الشخصية؟","توت عنخ آمون"
"E162","أدب وفنون","سهل","حجب","مكرّر مع M477 (نزار شاعر المرأة)","من الشاعر السوري الملقب بشاعر المرأة؟","نزار قباني"
"E140","أدب وفنون","سهل","حجب","مكرّر مع M478 (درويش)","ما اسم الشاعر الفلسطيني صاحب قصيدة سجل أنا عربي؟","محمود درويش"
"M485","من أنا؟","متوسط","حجب","مكرّر مع E180 (مايكل جوردن)","لاعب كرة سلة أمريكي يُعدّ الأفضل في تاريخ اللعبة عند كثيرين، وفاز ببطولة الدوري الأمريكي ست مرات مع فريق واحد. من هذه الشخصية؟","مايكل جوردان"
"S049","رياضة عامة","متوسط","حجب","مكرّر مع M487 (بولت)","من العدّاء الجامايكي صاحب الرقم القياسي العالمي في سباق مئة متر؟","يوسين بولت"
"ADM3832","حروف","سهل","حجب","مكرّر مع M448 (موتسارت)","من الموسيقار النمساوي الذي ألّف وهو طفل؟","موزارت"
"ADM1579","من أنا؟","متوسط","حجب","مكرّر مع E262 (نابليون)","إمبراطورٌ فرنسيّ نُفيت إلى جزيرةٍ في الأطلسيّ ومتّ فيها — من أنا؟","نابليون"
"M188","تقنية ومنوعات","متوسط","حجب","مكرّر مع ADM1585 (ماركوني)","من مخترع الراديو؟","ماركوني"
"M143","أحياء وفلك","متوسط","تغيير مستوى","سهل","ما اسم الظاهرة التي يحجب فيها القمر ضوء الشمس عن الأرض؟","كسوف الشمس"
"M144","أحياء وفلك","متوسط","تغيير مستوى","سهل","ما اسم الظاهرة التي تحجب فيها الأرض ضوء الشمس عن القمر؟","خسوف القمر"
"M366","أحياء وفلك","متوسط","تغيير مستوى","سهل","كم عدد أرجل العنكبوت؟","ثماني أرجل"
"M304","أحياء وفلك","متوسط","تغيير مستوى","سهل","كم عدد كواكب المجموعة الشمسية بعد استبعاد بلوتو؟","ثمانية"
"M136","أحياء وفلك","متوسط","تغيير مستوى","سهل","ما أضخم حيوان بري على وجه الأرض؟","الفيل"
"M376","أدب وفنون","متوسط","تغيير مستوى","سهل","من الملحن المصري الملقب بموسيقار الأجيال؟","محمد عبد الوهاب"
"ADM0793","أغاني وطرب","متوسط","تغيير مستوى","سهل","ماذا يُسمّى العمل الغنائي الذي تُروى فيه قصّة كاملة بالغناء والتمثيل؟","الأوبرا"
"ADM0794","أغاني وطرب","متوسط","تغيير مستوى","سهل","ما اسم أشهر آلة إيقاعية فخّارية مخروطية في الطرب العربي؟","الطبلة"
"ADM0802","أغاني وطرب","متوسط","تغيير مستوى","سهل","ماذا تُسمّى العصا المشدود عليها شعر والتي تُمرَّر على أوتار الكمان؟","القوس"
"ADM0156","أكلات","متوسط","تغيير مستوى","سهل","ما الشراب السكري الذي يُسكب على الكنافة والبقلاوة؟","القطر"
"ADM0157","أكلات","متوسط","تغيير مستوى","سهل","ما المكسرات الخضراء التي تزين كثيراً من الحلويات الشامية؟","الفستق الحلبي"
"ADM0167","أكلات","متوسط","تغيير مستوى","سهل","ما الحشو الأشهر للمعمول؟","التمر"
"ADM0104","أكلات","متوسط","تغيير مستوى","سهل","أي نوع من الليمون المجفف يُستخدم بكثرة لتنكه المجبوس الخليجي؟","اللومي"
"ADM0107","أكلات","متوسط","تغيير مستوى","سهل","ما الحبوب المستخدمة في الهريس قبل هرسها مع اللحم؟","القمح"
"ADM0111","أكلات","متوسط","تغيير مستوى","سهل","ما الفاكهة التي تُهرس مع الخبز في المعصوب الحجازي؟","الموز"
"ADM0159","أكلات","متوسط","تغيير مستوى","سهل","ما اسم اللبن المصفّى الكثيف الذي يُقدّم بزيت الزيتون في فطور الشام؟","اللبنة"
"ADM0168","أكلات","متوسط","تغيير مستوى","سهل","ما النكهتان العطريتان الشائعتان في القهوة العربية الخليجية؟","الهيل والزعفران"
"ADM0122","أكلات","متوسط","تغيير مستوى","سهل","ما الحبوب التي تُطحن مع اللحم في عجينة الكبة؟","البرغل"
"ADM0123","أكلات","متوسط","تغيير مستوى","سهل","ما التابل الأحمر الحامض المرشوش بكثرة على الفتوش؟","السماق"
"M089","إسلامي","متوسط","تغيير مستوى","سهل","ما القبلة الأولى للمسلمين؟","بيت المقدس"
"M264","إسلامي","متوسط","تغيير مستوى","سهل","كم عدد الأنبياء المذكورين بأسمائهم في القرآن الكريم؟","خمسة وعشرون"
"M602","إسلامي","متوسط","تغيير مستوى","سهل","ما اسم الغزوة التي سُمّيت بغزوة الأحزاب أيضاً؟","غزوة الخندق"
"ADM2385","الفقه والعبادات","متوسط","تغيير مستوى","سهل","ما الطواف الذي يؤدّيه الحاجّ عند مغادرته مكّة؟","طواف الوداع"
"ADM2392","الفقه والعبادات","متوسط","تغيير مستوى","سهل","ما اليومان اللذان يُسنّ صيامهما من كلّ أسبوع؟","الاثنين والخميس"
"ADM2393","الفقه والعبادات","متوسط","تغيير مستوى","سهل","ما المال الذي يقدّمه الزوج للزوجة في عقد النكاح؟","المهر (الصداق)"
"ADM2398","الفقه والعبادات","متوسط","تغيير مستوى","سهل","ما الجملة التي تُزاد في أذان الفجر؟","الصلاة خير من النوم"
"ADM4215","القرآن الكريم","متوسط","تغيير مستوى","سهل","ما الشهر الوحيد الذي ورد اسمه صريحاً في القرآن؟","رمضان"
"ADM3453","القرآن الكريم","متوسط","تغيير مستوى","سهل","ماذا يُسمّى ما نزل من القرآن بعد الهجرة؟","المدنيّ"
"ADM3450","القرآن الكريم","متوسط","تغيير مستوى","سهل","ما اسم العلم الذي يبحث في أحكام تلاوة القرآن ومخارج الحروف؟","التجويد"
"M051","تاريخ وحضارات","متوسط","تغيير مستوى","سهل","ما عاصمة الدولة العباسية؟","بغداد"
"M177","تاريخ وحضارات","متوسط","تغيير مستوى","سهل","من مؤسس المملكة العربية السعودية؟","الملك عبدالعزيز آل سعود"
"M019","تقنية ومنوعات","متوسط","تغيير مستوى","سهل","ما اسم العملة اليابانية؟","الين"
"M098","تقنية ومنوعات","متوسط","تغيير مستوى","سهل","ما اسم العملة البريطانية؟","الجنيه الإسترليني"
"M710","تقنية ومنوعات","متوسط","تغيير مستوى","سهل","ما اسم الشركة التي تصنع أجهزة إكس بوكس؟","مايكروسوفت"
"M713","تقنية ومنوعات","متوسط","تغيير مستوى","سهل","ما اسم الوحدة التي تقيس سرعة المعالج؟","الغيغاهرتز"
"M717","تقنية ومنوعات","متوسط","تغيير مستوى","سهل","ما اسم البرنامج الخبيث الذي يقفل ملفاتك بالتشفير ثم يساوم صاحبها على استعادتها؟","برنامج الفدية"
"M711","تقنية ومنوعات","متوسط","تغيير مستوى","سهل","ما اسم أشهر منصّة لتخزين الشيفرة البرمجية ومشاركتها؟","غيت هب"
"M071","جغرافيا ومعالم","متوسط","تغيير مستوى","سهل","ما القناة التي تربط البحر المتوسط بالبحر الأحمر؟","قناة السويس"
"M117","جغرافيا ومعالم","متوسط","تغيير مستوى","سهل","ما عاصمة المكسيك؟","مكسيكو سيتي"
"M119","جغرافيا ومعالم","متوسط","تغيير مستوى","سهل","ما أكبر غابة مطيرة في العالم؟","غابة الأمازون"
"M163","جغرافيا ومعالم","متوسط","تغيير مستوى","سهل","في أي مدينة يقع مقر الأمم المتحدة؟","نيويورك"
"M434","جغرافيا ومعالم","متوسط","تغيير مستوى","سهل","ما البحر شديد الملوحة الذي لا تعيش فيه الأسماك؟","البحر الميت"
"M102","جغرافيا ومعالم","متوسط","تغيير مستوى","سهل","ما أكبر دولة في أمريكا الجنوبية مساحةً؟","البرازيل"
"M211","رياضة عامة","متوسط","تغيير مستوى","سهل","كم عدد الحلقات في شعار الألعاب الأولمبية؟","خمس حلقات"
"M215","رياضة عامة","متوسط","تغيير مستوى","سهل","ما اللعبة التي تُلعب على رقعة من 64 مربعًا؟","الشطرنج"
"S037","رياضة عامة","متوسط","تغيير مستوى","سهل","ما النادي الذي لعب له ليونيل ميسي معظم مسيرته؟","برشلونة"
"M289","رياضة عامة","متوسط","تغيير مستوى","سهل","أي بطولات الغراند سلام في التنس تُقام على الملاعب الترابية؟","بطولة فرنسا المفتوحة رولان غاروس"
"ADM0692","سيارات","متوسط","تغيير مستوى","سهل","أي شركة تصنع طراز A6؟","أودي"
"M065","طب وصحة","متوسط","تغيير مستوى","سهل","كم عدد حجرات قلب الإنسان؟","أربع حجرات"
"M113","طب وصحة","متوسط","تغيير مستوى","سهل","ما الفيتامين الذي يحصل عليه الجسم من أشعة الشمس؟","فيتامين د"
"M116","طب وصحة","متوسط","تغيير مستوى","سهل","ما العضو المسؤول عن تنقية الدم من الفضلات؟","الكلى"
"M317","طب وصحة","متوسط","تغيير مستوى","سهل","ما اسم الحبل الذي يربط الجنين بالمشيمة؟","الحبل السري"
"M329","طب وصحة","متوسط","تغيير مستوى","سهل","كم سنًّا في فم الإنسان البالغ؟","32 سنًّا"
"M337","طب وصحة","متوسط","تغيير مستوى","سهل","ما العملية التي تُنقّى بها الدماء صناعيًّا عند فشل الكلى؟","غسيل الكلى"
"M426","طب وصحة","متوسط","تغيير مستوى","سهل","ما الجهاز الذي يستخدم الموجات فوق الصوتية لتصوير الجنين؟","جهاز السونار"
"M429","طب وصحة","متوسط","تغيير مستوى","سهل","ما العضو الذي يُستأصل عند التهابه أسفل يمين البطن؟","الزائدة الدودية"
"M073","طب وصحة","متوسط","تغيير مستوى","سهل","من مكتشف البنسلين؟","ألكسندر فلمنج"
"M027","علوم واختراعات","متوسط","تغيير مستوى","سهل","ما العنصر الذي رمزه الكيميائي O؟","الأكسجين"
"M084","علوم واختراعات","متوسط","تغيير مستوى","سهل","ما العنصر الذي رمزه الكيميائي H؟","الهيدروجين"
"M400","علوم واختراعات","متوسط","تغيير مستوى","سهل","ما الطبقة التي تحمي الأرض من الأشعة فوق البنفسجية؟","طبقة الأوزون"
"M145","علوم واختراعات","متوسط","تغيير مستوى","سهل","ما اسم العلم الذي يدرس الطقس والمناخ؟","علم الأرصاد الجوية"
"ADM2068","قصص الأنبياء","متوسط","تغيير مستوى","سهل","ما الطير الذي حمل إلى سليمان عليه السلام خبر ملكة سبأ؟","الهدهد"
"ADM2222","لغة عربية","متوسط","تغيير مستوى","سهل","ما العلم الذي يبحث في أواخر الكلمات وإعرابها؟","النحو"
"ADM2235","لغة عربية","متوسط","تغيير مستوى","سهل","ما مرادف كلمة «الشَّهد»؟","العسل"
"ADM1130","معالم","متوسط","تغيير مستوى","سهل","ما أكبر مسجد في العالم مساحةً؟","المسجد الحرام"
"ADM1133","معالم","متوسط","تغيير مستوى","سهل","ما أشهر متحف في باريس؟","اللوفر"
"ADM1141","معالم","متوسط","تغيير مستوى","سهل","ما اسم الفندق الذي يشبه الشراع في دبي؟","برج العرب"
"ADM1140","معالم","متوسط","تغيير مستوى","سهل","في أيّ مدينة خليجية يقع جامع الشيخ زايد الكبير؟","أبوظبي"
"ADM0799","أغاني وطرب","متوسط","تغيير مستوى","تعجيزي","كم فيلماً مثّل فيه المطرب عبد الحليم حافظ؟","16"
"ADM0803","أغاني وطرب","متوسط","تغيير مستوى","صعب","كم عدد المقامات الرئيسية التي تتفرّع عنها بقية المقامات العربية؟","تسعة"
"ADM0805","أغاني وطرب","متوسط","تغيير مستوى","صعب","ما اسم الأغنية التي نال بها عبد الكريم عبد القادر لقبه سنة 1988؟","أجر الصوت"
"ADM0806","أغاني وطرب","متوسط","تغيير مستوى","صعب","ماذا تُسمّى الفتحات الدائرية المزخرفة في صدر العود؟","القمرية"
"ADM0796","أغاني وطرب","متوسط","تغيير مستوى","صعب","ماذا تُسمّى المفاتيح الخشبية التي تُشدّ بها أوتار العود؟","الملاوي"
"ADM3214","الصحابة والتابعون","متوسط","إعادة صياغة","في أيّ مدينةٍ يقع المسجد الذي بُني عند قبر أبي أيّوب الأنصاريّ رضي الله عنه؟","في أيّ مدينةٍ يقع هذا المسجد الذي بُني عند قبر أبي أيّوب الأنصاريّ رضي الله عنه؟","إسطنبول"
"ADM3215","الصحابة والتابعون","متوسط","إعادة صياغة","في أيّ بلدٍ عربيّ يقع الجامع الذي أسّسه عقبة بن نافع رضي الله عنه؟","في أيّ بلدٍ عربيّ يقع هذا الجامع الذي أسّسه عقبة بن نافع رضي الله عنه؟","تونس (القيروان)"
"M539","سينما ودراما","متوسط","إعادة صياغة","من المخرج المصري صاحب أفلام «باب الحديد» و«المصير» و«إسكندرية ليه»؟","من المخرج المصري صاحب أفلام «الأرض» و«باب الحديد» و«المصير»؟","يوسف شاهين"
"ADM0002","أكلات","متوسط","إعادة صياغة","ما الطبق الحجازيّ من عجين البرّ المفروم الذي يُقدَّم بالسمن والعسل؟","عجينة البر المفرومة المقدمة بالسمن والعسل","العريكة"
"ADM3181","الصحابة والتابعون","سهل","إعادة صياغة","من الصحابيّ الذي تنقّل بين الرهبان في طلب الدين الحقّ حتى أسلم في المدينة؟","من الصحابيّ الذي تنقّل بين الرهبان في طلب الدين الحقّ حتى أسلم في المدينة، وأشار بحفر الخندق؟","سلمان الفارسيّ رضي الله عنه"
